"YYYY","Q","pred","HYBAS_ID","p_below","p_normal","p_above","class_hat","entropy"
19930101,1909.40086666667,1792.33259888331,"1050021910",0.386361798004461,0.60847699945804,0.00516120253749808,"normal",0.696893703368295
19940101,2153.02986666667,2152.84242888335,"1050021910",0.154011039752291,0.812682061062132,0.0333068991855772,"normal",0.569985692673821
19950101,2683.02743333333,2492.94786713333,"1050021910",0.0437626384903677,0.830143774192044,0.126093587317588,"normal",0.552574633334998
19960101,3570.9438,3598.24801749999,"1050021910",3.93260524236736e-05,0.13675874111336,0.863201932834216,"above",0.399468196951658
19970101,4302.9823,3906.40844649994,"1050021910",2.40449847271384e-06,0.0427774450173266,0.957220150484201,"above",0.176706134938056
19980101,1703.7466,1674.25824294998,"1050021910",0.480245070008994,0.51723217239744,0.00252275759356624,"normal",0.708324352733491
19990101,3466.62156666667,3273.70155313336,"1050021910",0.000499545269478382,0.330508713345921,0.6689917413846,"above",0.638634685958906
20000101,3098.9989,3121.98681116666,"1050021910",0.00142562671355003,0.446982805653015,0.551591567633435,"above",0.697436584117891
20010101,1598.6216,1684.53702634999,"1050021910",0.471950261964433,0.525359151117645,0.0026905869179219,"normal",0.708461267384468
20020101,2764.77216666667,2943.31252661664,"1050021910",0.00438033447028958,0.587504779597196,0.408114885932514,"normal",0.702019909486925
20030101,2306.59413333333,2264.89192493332,"1050021910",0.106300084074543,0.839695157132473,0.0540047587929839,"normal",0.542601750437915
20040101,1561.12716666667,1586.59750366666,"1050021910",0.550966843059661,0.447600157197977,0.00143299974236222,"below",0.697609536450833
20050101,2963.53696666667,2944.46571109997,"1050021910",0.00435039749389343,0.586627018235292,0.409022584270814,"normal",0.702202195081383
20060101,3127.11293333333,3062.78989045001,"1050021910",0.00209577825364343,0.494025793897519,0.503878427848838,"above",0.706665843064364
20070101,2118.3404,2138.51248771669,"1050021910",0.161003562179332,0.807787122099964,0.0312093157207041,"normal",0.574676932366171
20080101,2865.54753333333,2932.53448094998,"1050021910",0.00466915994129433,0.595675148262145,0.399655691796561,"normal",0.700198658697426
20090101,2514.41843333333,2490.27443269997,"1050021910",0.0442670811836548,0.830757898876675,0.124975019939671,"normal",0.551942993622993
20100101,2974.14026666667,2937.67268268332,"1050021910",0.00452941407069103,0.591787765965122,0.403682819964187,"normal",0.701093218953329
20110101,3044.32363333333,3164.03372513331,"1050021910",0.00107552773200867,0.41385069770324,0.585073774564751,"above",0.686080633343627
20120101,3696.32363333333,3383.04124198331,"1050021910",0.000222074892008332,0.254820294446716,0.744957630661275,"above",0.569594008278693
20130101,1666.87636666667,1617.62665420001,"1050021910",0.526002338589003,0.472241183772358,0.00175647763863906,"below",0.703380118296585
20140101,689.8611,746.301248966661,"1050021910",0.966446016918213,0.033552580560989,1.40252079783298e-06,"below",0.146902528716654
20150101,1046.13423333333,1249.66177218332,"1050021910",0.79128812818975,0.208587985292377,0.000123886517873317,"below",0.513289233784173
20160101,1906.2651,2182.99125453331,"1050021910",0.13996487508774,0.82193525009444,0.03809987481782,"normal",0.560891178977459
20170101,739.7871,744.446822449996,"1050021910",0.96672553408848,0.0332730888965881,1.37701493152509e-06,"below",0.145961742866188
20180101,1496.71433333333,1564.03637658332,"1050021910",0.568998181323929,0.429768792725841,0.00123302595023023,"below",0.692047881206218
20190101,614.114533333333,698.577781066667,"1050021910",0.973051350153814,0.0269477790763776,8.7076980814782e-07,"below",0.123979728938939
20200101,3616.7906,3448.83754163332,"1050021910",0.000133336217115747,0.214035102936053,0.785831560846832,"above",0.520544959913105
20210101,1681.8859,1543.9993383,"1050021910",0.584893694920162,0.414029113438104,0.00107719164173359,"below",0.686152820090131
20220101,1932.93343333333,2204.10564195,"1050021910",0.130662459562526,0.827556948675377,0.0417805917620976,"normal",0.555220805377351
20230101,2177.9998,2156.87780460001,"1050021910",0.152078727547041,0.814003162915872,0.0339181095370868,"normal",0.568705384730902
20240101,3558.88786666667,3556.84866501666,"1050021910",5.56412982212989e-05,0.15597088459113,0.843973474110648,"above",0.433519176914465
20250101,2242.29696666666,2409.56316604998,"1050021910",0.061826354653536,0.84375571257117,0.0944179327752943,"normal",0.538265237506598
20260101,2242.29696666666,2117.84575086668,"1050021910",0.171447427121389,0.800174950098188,0.0283776227804229,"normal",0.581808253854946
19930101,26.1199655172414,37.1330399563218,"1050021920",0.340763464492138,0.648000348666333,0.0112361868415293,"normal",0.698433573989798
19940101,94.3780344827586,88.4471515045975,"1050021920",0.000118257612878111,0.162496525109525,0.837385217277597,"above",0.444953237660441
19950101,78.8454137931034,81.2357572229884,"1050021920",0.000646693620078228,0.29922306502792,0.700130241352002,"above",0.615370105680785
19960101,61.7601034482759,66.7716804724138,"1050021920",0.0108142568520166,0.643073707561711,0.346112035586273,"normal",0.700091737317513
19970101,90.5406206896552,87.8288180258621,"1050021920",0.000137873123675408,0.17234165323286,0.827520473643465,"above",0.460917202809539
19980101,40.1078965517241,43.3236507183907,"1050021920",0.210582368617124,0.759922484793436,0.0294951465894394,"normal",0.640616985620761
19990101,36.678724137931,37.0298025252874,"1050021920",0.343176403510788,0.645779804785227,0.0110437917039846,"normal",0.699190273241026
20000101,51.6383103448276,50.445266529885,"1050021920",0.104253596829402,0.820101001160349,0.0756454020102488,"normal",0.593652407921595
20010101,48.8317586206897,51.6448773597701,"1050021920",0.0910963489594904,0.821772323632322,0.0871313274081875,"normal",0.592189263153602
20020101,30.3418620689655,35.8022556017241,"1050021920",0.372333904850585,0.618699377334575,0.00896671781484015,"normal",0.707183510975087
20030101,30.7999310344828,31.104256383908,"1050021920",0.489366010775124,0.506796110143338,0.00383787908153799,"normal",0.715514462847091
20040101,35.6835862068965,31.8181923442528,"1050021920",0.471261394076859,0.524349440558512,0.00438916536462919,"normal",0.71689540181899
20050101,149.131206896552,118.463985403447,"1050021920",1.15542039441924e-08,0.00190008401762209,0.998099904428174,"above",0.0138041554859351
20060101,62.4085517241379,53.6909525614943,"1050021920",0.071561018471275,0.818791424748445,0.10964755678028,"normal",0.594792850950395
20070101,65.7780689655172,59.4032312586208,"1050021920",0.0337867824834452,0.772646573917784,0.193566643598771,"normal",0.631612722546083
20080101,82.8861034482759,89.4578975632182,"1050021920",9.17293360906348e-05,0.147204464375755,0.852703806288155,"above",0.418759038354278
20090101,44.1446206896552,43.9393916333334,"1050021920",0.199448425602246,0.76832806924725,0.0322235051505041,"normal",0.634724314938698
20100101,67.1942413793103,58.633616961494,"1050021920",0.0376317370844786,0.781960568393331,0.180407694522191,"normal",0.624707247716132
20110101,82.349,90.35680011954,"1050021920",7.29395166240466e-05,0.134438851344965,0.865488209138411,"above",0.395495721045676
20120101,71.0393103448276,72.1720274729887,"1050021920",0.00413855343243159,0.516643225684491,0.479218220883077,"normal",0.716415075453566
20130101,51.5651034482759,50.2527228189655,"1050021920",0.10648763892819,0.819597792519836,0.0739145685519732,"normal",0.594091251628169
20140101,18.1479655172414,23.7566831574712,"1050021920",0.67039417766983,0.328742647109638,0.000863175220532475,"below",0.639892784448242
20150101,17.185724137931,31.4617576586206,"1050021920",0.480295099800331,0.515599240621651,0.00410565957801767,"normal",0.71633487848904
20160101,28.8150344827586,30.8666065982759,"1050021920",0.495399255253981,0.500932102034393,0.00366864271162581,"normal",0.71482431800048
20170101,22.8982068965517,22.704845767816,"1050021920",0.694255627736019,0.30505870476948,0.000685667494501496,"below",0.620520759597633
20180101,46.903,52.7524288402298,"1050021920",0.0800808683835876,0.821070524245217,0.0988486073711955,"normal",0.592804695766625
