HYBAS_ID,DATE,Q
205346,1981,299.58
203480,1981,14.68
208603,1981,27.92
201448,1981,1051.28
208110,1981,843.93
208216,1981,1812.57
213790,1981,1933.06
204761,1981,611.53
205368,1981,360.73
204230,1981,544.17
214295,1981,236.48
214193,1981,671.49
208084,1981,131.07
208621,1981,457.68
207841,1981,3069.97
208552,1981,1238.45
204582,1981,244.13
212592,1981,1896.13
205346,1982,508.72
203480,1982,9.8
208603,1982,6.98
201448,1982,1045.99
208110,1982,823.48
208216,1982,1588.25
213790,1982,1431.82
204761,1982,640.48
205368,1982,161.63
204230,1982,272.31
214295,1982,111.16
214193,1982,312.94
208084,1982,98.01
208621,1982,271.97
207841,1982,2111.91
208552,1982,979.43
204582,1982,174.66
212592,1982,1218.97
205346,1983,172.46
203480,1983,4.79
208603,1983,18.27
201448,1983,928.44
208110,1983,755.37
208216,1983,1422.6
213790,1983,1604.65
204761,1983,332.98
205368,1983,105.11
204230,1983,241.72
214295,1983,32.56
214193,1983,248.74
208084,1983,22.38
208621,1983,100.85
207841,1983,1288.46
208552,1983,517.71
204582,1983,146.57
212592,1983,737.73
205346,1984,252.08
203480,1984,52.59
208603,1984,13.79
201448,1984,986.77
208110,1984,584.6
208216,1984,1063.99
213790,1984,1141.2
204761,1984,479.27
205368,1984,176.37
204230,1984,346.52
214295,1984,79.4
214193,1984,134.74
208084,1984,102.28
208621,1984,83.58
207841,1984,1024.7
208552,1984,822.13
204582,1984,20.8
212592,1984,492.11
205346,1985,1330.37
203480,1985,21.63
208603,1985,66.13
201448,1985,1789.29
208110,1985,1162.67
208216,1985,1491.33
213790,1985,1445.05
204761,1985,991.71
205368,1985,226.29
204230,1985,707.62
214295,1985,270.48
214193,1985,579.39
208084,1985,137.41
208621,1985,250.7
207841,1985,2362.25
208552,1985,1084.14
204582,1985,269.74
212592,1985,1245.82
205346,1986,210.16
203480,1986,5.31
208603,1986,15.47
201448,1986,811.71
208110,1986,610.8
208216,1986,1900.28
213790,1986,1232.2
204761,1986,465.4
205368,1986,286.37
204230,1986,556.18
214295,1986,153.73
214193,1986,428.87
208084,1986,192.65
208621,1986,267.42
207841,1986,1859.76
208552,1986,691.04
204582,1986,151.86
212592,1986,1278.83
205346,1987,300.01
203480,1987,24.39
208603,1987,13.82
201448,1987,804.07
208110,1987,465.25
208216,1987,1115.28
213790,1987,1500.3
204761,1987,704.28
205368,1987,300.05
204230,1987,332.36
214295,1987,62.16
214193,1987,198.43
208084,1987,81.97
208621,1987,198.65
207841,1987,1719.7
208552,1987,655.99
204582,1987,87.62
212592,1987,1045.5
205346,1988,468.96
203480,1988,12.47
208603,1988,15.74
201448,1988,1155.68
208110,1988,772.68
208216,1988,1651.55
213790,1988,1633.27
204761,1988,824.43
205368,1988,427.76
204230,1988,750.13
214295,1988,370.93
214193,1988,786.02
208084,1988,357.81
208621,1988,411.59
207841,1988,3261.44
208552,1988,662.37
204582,1988,543.23
212592,1988,2258.26
205346,1989,958.52
203480,1989,26.48
208603,1989,55.76
201448,1989,1533.19
208110,1989,761.29
208216,1989,1175.96
213790,1989,1326.38
204761,1989,656.65
205368,1989,301.69
204230,1989,586.52
214295,1989,440.9
214193,1989,859.8
208084,1989,221.63
208621,1989,702.47
207841,1989,2034.33
208552,1989,1081.23
204582,1989,160.33
