HYBAS_ID,DATE,Q
200031,1981,58.01
200034,1981,35.78
200066,1981,21.8
200079,1981,8.94
200151,1981,47.64
201545,1981,34.22
202437,1981,121.81
202526,1981,24.43
202597,1981,4.82
204309,1981,246.89
204751,1981,973.94
204748,1981,178.62
204755,1981,215.74
204753,1981,1009.35
204752,1981,1088.62
204758,1981,97.66
204757,1981,122.62
204756,1981,124.63
204762,1981,223.29
204761,1981,611.53
204770,1981,320.71
204775,1981,233.35
204780,1981,598.57
204788,1981,578.38
204799,1981,102.55
204796,1981,56.62
204801,1981,19.34
204810,1981,32.34
205367,1981,184.64
205365,1981,212.8
205371,1981,322.03
205382,1981,68.27
205588,1981,115.48
205796,1981,24.98
205944,1981,34.79
206172,1981,1179.12
207854,1981,55.69
208161,1981,73.78
208165,1981,7.62
208178,1981,894.75
208176,1981,978.77
208181,1981,853.64
208199,1981,4.4
208725,1981,38.83
209688,1981,42.15
209729,1981,80.17
210357,1981,20.32
210839,1981,10.9
211217,1981,25.56
211454,1981,24.27
211467,1981,18.48
211617,1981,17.76
211723,1981,82.35
212189,1981,71.59
212571,1981,412.76
213348,1981,41.98
213764,1981,13.99
213779,1981,25.07
214164,1981,33.65
214717,1981,654.86
214949,1981,19.9
215005,1981,104.54
215187,1981,75.29
215485,1981,377.88
215592,1981,26.26
215784,1981,36.87
216022,1981,37.48
216337,1981,47.24
217617,1981,11.5
217915,1981,44.78
200031,1982,41.18
200034,1982,24.19
200066,1982,16.49
200079,1982,6.28
200151,1982,28.86
201545,1982,22.29
202437,1982,71.96
202526,1982,15.6
202597,1982,4.52
204309,1982,163.03
204751,1982,909.2
204748,1982,116.93
204755,1982,183.89
204753,1982,929.11
204752,1982,972.95
204758,1982,64.46
204757,1982,82.13
204756,1982,108.48
204762,1982,158.17
204761,1982,640.48
204770,1982,147.87
204775,1982,100.65
204780,1982,631.26
204788,1982,621.09
204799,1982,40.33
204796,1982,37.3
204801,1982,10.25
204810,1982,17.28
205367,1982,73.34
205365,1982,83.68
205371,1982,135.28
205382,1982,30.25
205588,1982,71.36
205796,1982,20.35
205944,1982,22.34
206172,1982,1043.96
207854,1982,35.25
208161,1982,51.23
208165,1982,2.95
208178,1982,869.18
208176,1982,911.26
208181,1982,845.49
208199,1982,2.62
208725,1982,28.72
209688,1982,26.91
209729,1982,50.99
210357,1982,14.32
210839,1982,6.67
211217,1982,19.21
211454,1982,16.06
211467,1982,15.19
211617,1982,13.97
211723,1982,63.85
212189,1982,60.78
212571,1982,338.87
213348,1982,23.75
213764,1982,8.88
213779,1982,16.04
214164,1982,21.66
214717,1982,480.24
214949,1982,3.85
215005,1982,78.99
215187,1982,48.5
215485,1982,255.83
215592,1982,17.71
215784,1982,21.43
216022,1982,21.62
216337,1982,40.32
217617,1982,8.82
217915,1982,36.67
200031,1983,49.97
200034,1983,31.98
200066,1983,18.8
200079,1983,7.27
200151,1983,23.78
201545,1983,25.8
202437,1983,84.79
202526,1983,18.16
202597,1983,3.45
204309,1983,204.52
204751,1983,467.44
204748,1983,144.03
204755,1983,76.68
204753,1983,492.26
204752,1983,531.3
204758,1983,45.96
204757,1983,65.36
204756,1983,49.61
204762,1983,55.91
204761,1983,332.98
204770,1983,105.77
204775,1983,57.57
204780,1983,331.21
204788,1983,327.95
204799,1983,21.86
204796,1983,24.44
204801,1983,7.56
204810,1983,18.68
205367,1983,50.62
205365,1983,56.65
205371,1983,94.04
205382,1983,24.05
205588,1983,93.61
205796,1983,20.4
205944,1983,18.2
206172,1983,599.6
207854,1983,40.99
208161,1983,26.77
208165,1983,6.06
208178,1983,430.5
208176,1983,470.74
208181,1983,416.23
208199,1983,0.36
208725,1983,33.6
209688,1983,14.92
209729,1983,67.3
210357,1983,16.48
210839,1983,7.74
211217,1983,21.27
211454,1983,18.7
211467,1983,5.15
211617,1983,2.65
211723,1983,69.32
212189,1983,58.28
212571,1983,238
213348,1983,11.19
213764,1983,9.93
213779,1983,18.23
214164,1983,28.85
214717,1983,411.69
214949,1983,3.16
215005,1983,25.52
215187,1983,61.88
215485,1983,109.59
215592,1983,15.25
215784,1983,13.26
216022,1983,20.65
216337,1983,14.78
217617,1983,8.92
217915,1983,28.4
200031,1984,35
200034,1984,24.52
200066,1984,13.85
200079,1984,6.09
200151,1984,36.98
201545,1984,16.72
202437,1984,81.94
202526,1984,15.06
202597,1984,2.48
204309,1984,165.38
204751,1984,705.59
204748,1984,118.16
204755,1984,147.67
204753,1984,727.6
204752,1984,766.33
204758,1984,67.81
204757,1984,85.49
204756,1984,85.68
204762,1984,96
204761,1984,479.27
204770,1984,213.83
204775,1984,141.56
204780,1984,472.87
204788,1984,466.08
204799,1984,38.55
204796,1984,21.69
204801,1984,6.67
