DATE,X200004,X200012,X215451,X214517,X200019,X200023,X200031,X200034,X211592,X205784,X200035,X200040,X200056,X200058
1979-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-25,0,17.889,0,0,0,17.15,0,0,4.441,15.162,20.238,4.64,0,0
1979-04-26,0,12.741,0,0,0,10.566,0,0,3.722,0,0.012,3.184,0,0
1979-04-27,0,16.598,0,0,0,12.284,0,0,0,0,5.155,7.339,0,0
1979-04-28,0,0,0,0,0,0,0,0,3.573,12.267,16.184,5.442,0.126,0
1979-04-29,0,12.056,0,0,0,11.951,0,0,4.95,9.717,13.477,3.143,0,0
1979-04-30,0,18.089,0,0,0,16.02,0,0,0,0,0,0.477,0,0
1979-05-01,0,0,0,0,0,0,0,0,13.332,13.759,12.956,13.054,0,0
1979-05-02,0,29.392,0,0,0,25.154,0,0,4.107,0,0,11.726,0,0
1979-05-03,0,37.295,0,0,0,40.466,0,0,12.97,15.991,17.502,11.411,0,0
1979-05-04,0,32.503,0,0,0,28.682,0,0,10.514,17.666,22.156,0,0,0
1979-05-05,0,0.026,0,0,0,0,0,0,0,0,0,5.147,0,0
1979-05-06,0,21.448,0,0,0,20.083,0,0,0.612,2.805,10.909,16.699,0,0
1979-05-07,0,27.515,0,0,0,22.821,0,0,0,0,0,17.643,0,0
1979-05-08,0,26.765,0,0,0,20.77,0,0,10.163,10.975,8.92,11.938,0,0
1979-05-09,0,17.99,0,0,0,17.785,0,0,0.819,0,0,1.495,0,0
1979-05-10,0,34.337,0,0,0,22.68,0,0,0,0,0,0,0,0
1979-05-11,0,2.169,0,0,0,0,0.183,0.486,1.257,0,0,0,0,0
1979-05-12,0,0,0,0,0,0,0.417,0.329,2.326,6.338,1.208,2.056,2.733,0
1979-05-13,0,0.011,0,0,0,0,0,0,0.549,0.243,0,1.854,0,0
1979-05-14,0,30.777,0,0,0,25.591,1.929,2.478,0,2.023,0,0,0,0
1979-05-15,0,15.881,0,0,0,20.406,0,0,0,0,0,0,0,0
1979-05-16,0,0.039,0,0,0,0,0,0,14.553,12.239,11.768,14.346,4.897,5.384
1979-05-17,0,20.216,0,0,0,18.483,0,0,20.943,21.256,19.728,6.876,1.381,3.703
1979-05-18,0,3.398,0,0,0,16.595,0,0,0,0,0,6.179,0,0
1979-05-19,0,4.433,0,0,0,0,0,0,6.689,0.728,0,0,2.997,1.195
1979-05-20,0,7.857,0,0,0,0,0.153,1.916,2.318,0,0,0,1.704,0
1979-05-21,0,19.5,0,0,0,22.603,0.082,1.041,0,0,0,0,0,0
1979-05-22,0,8.844,0,0,0,0,0,0,0,0,0,0,0.693,0
1979-05-23,0,50.426,0,0,0,47.663,0.333,0.005,0,0,0,0.817,5.647,4.727
1979-05-24,0,34.87,0,0,0,31.55,0.991,0.536,11.54,18.614,21.004,11.68,0,0
1979-05-25,0,24.267,0,0,0,19.497,11.019,8.245,17.291,13.318,14.898,4.696,5.343,4.876
1979-05-26,0,27.238,0,0,0,26.322,4.344,7.218,15.403,16.061,17.888,1.101,9.891,9.259
1979-05-27,0,0,0,0,0,0,0.914,2.762,0,0.054,2.424,0,5.735,5.647
1979-05-28,0,14.114,0,0,0,0,0.647,0.009,0,0,0,1.26,1.117,3.007
1979-05-29,0,24.276,0,0,0,21.347,0.6,0.687,0,0,0,17.777,2.726,3.785
1979-05-30,0,0,0,0,0,0,0,0,9.675,10.146,11.014,0.104,0,0
1979-05-31,0,8.298,0,0,0,16.569,6.106,5.111,6.867,7.477,11.388,9.678,10.538,10.6
1979-06-01,0,2.378,0,0,0,0,0,0,12.027,9.834,7.877,7.555,0,0
