HYBAS_ID,DATE,Q
200156,1981,2000.38
200415,1981,76.02
200426,1981,210.81
200425,1981,245.28
200445,1981,135.01
200503,1981,40.04
200936,1981,199.07
201094,1981,192.78
203181,1981,126.29
203659,1981,2459.4
203840,1981,107.9
204325,1981,53.51
204338,1981,94.93
204715,1981,79.11
204737,1981,44.1
204744,1981,564.5
204835,1981,680.59
204842,1981,616.29
204848,1981,616.5
205042,1981,316.15
205073,1981,44.44
205303,1981,1355.85
205301,1981,237.97
205305,1981,1179.81
205308,1981,267.69
205315,1981,180.05
205318,1981,1048.74
205317,1981,1120.23
205316,1981,1169.9
205323,1981,290.51
205326,1981,1070.16
205330,1981,315.58
205328,1981,811.2
205332,1981,432.58
205337,1981,271.83
205350,1981,841.33
205355,1981,497.82
205352,1981,169.83
205356,1981,235.31
205362,1981,112.33
205361,1981,210.74
206026,1981,47.49
206263,1981,476.04
207590,1981,1655.23
207866,1981,102.61
208022,1981,86.81
208157,1981,922.38
208187,1981,596.8
208191,1981,415.77
208193,1981,158.09
208192,1981,286.74
208203,1981,702.32
208210,1981,292.87
208213,1981,170.04
208216,1981,1812.57
208222,1981,587.84
208220,1981,1673.83
208363,1981,912.72
208450,1981,77.55
208860,1981,29.04
208919,1981,909.82
208934,1981,207.77
209852,1981,1205.73
209873,1981,893.16
209878,1981,148.43
209979,1981,95.01
210032,1981,309.61
210404,1981,93.43
210494,1981,25.79
210523,1981,42.91
210901,1981,55.16
210966,1981,1445.76
211083,1981,161.58
211096,1981,69.72
211142,1981,141.99
211494,1981,137.39
211534,1981,343.22
211679,1981,162.03
212067,1981,53.61
212100,1981,155.43
212178,1981,122.42
212690,1981,93.53
213233,1981,187.16
213763,1981,72.67
213790,1981,1933.06
214374,1981,147.1
214443,1981,613.64
215732,1981,58.19
215984,1981,192.17
216170,1981,149.82
216328,1981,189.89
216366,1981,146.76
216660,1981,26.16
216856,1981,14.51
216977,1981,98.07
200156,1982,1774.98
200415,1982,70.16
200426,1982,189.99
200425,1982,222.04
200445,1982,103.34
200503,1982,34.79
200936,1982,224.14
201094,1982,193.31
203181,1982,113.26
203659,1982,2135.24
203840,1982,114.8
204325,1982,30.22
204338,1982,51.21
204715,1982,48.11
204737,1982,26.32
204744,1982,370.94
204835,1982,748.24
204842,1982,676.28
204848,1982,676.68
205042,1982,223.91
205073,1982,51.07
205303,1982,1071.01
205301,1982,232.32
205305,1982,970.71
205308,1982,244.74
205315,1982,181.55
205318,1982,796.56
205317,1982,867.71
205316,1982,865.7
205323,1982,239.1
205326,1982,819.42
205330,1982,245.56
205328,1982,565.92
205332,1982,297.64
205337,1982,184.78
205350,1982,607.28
205355,1982,327.89
205352,1982,122.3
205356,1982,141.95
205362,1982,72.71
205361,1982,148.29
206026,1982,35.24
206263,1982,434.29
207590,1982,1397.15
207866,1982,114.57
208022,1982,80.39
208157,1982,727.16
208187,1982,423.98
208191,1982,292.31
208193,1982,110.18
208192,1982,199.72
208203,1982,541.81
208210,1982,167.43
208213,1982,92.61
208216,1982,1588.25
208222,1982,430.92
208220,1982,1433.71
208363,1982,989.61
208450,1982,75.39
208860,1982,16.19
208919,1982,705.7
208934,1982,133.18
209852,1982,943.55
209873,1982,619.76
209878,1982,121.26
209979,1982,77.75
210032,1982,230.21
210404,1982,72.08
210494,1982,19.47
210523,1982,27.27
210901,1982,31.92
210966,1982,1194.61
211083,1982,176.36
211096,1982,57.23
211142,1982,99.77
211494,1982,79.99
211534,1982,251.7
211679,1982,105.03
212067,1982,71.56
212100,1982,120.14
212178,1982,83.74
212690,1982,67.34
213233,1982,192.36
213763,1982,79.06
213790,1982,1431.82
214374,1982,121.13
214443,1982,414.02
215732,1982,39.66
215984,1982,198.62
216170,1982,141.92
216328,1982,193.67
216366,1982,160.99
216660,1982,25.58
216856,1982,15.24
216977,1982,86.84
200156,1983,1584.04
200415,1983,70.3
200426,1983,112.78
200425,1983,135.3
200445,1983,110.2
200503,1983,41.79
200936,1983,218.25
201094,1983,153.22
203181,1983,127.7
203659,1983,2011.55
203840,1983,89
204325,1983,34.16
204338,1983,36.97
204715,1983,37.08
204737,1983,34.44
204744,1983,503.84
204835,1983,690.57
204842,1983,632.02
204848,1983,632.17
205042,1983,251.82
205073,1983,42.18
205303,1983,1094.56
205301,1983,194.4
205305,1983,878.63
205308,1983,225.45
205315,1983,158.4
205318,1983,783.33
205317,1983,835.48
205316,1983,788.06
205323,1983,204.24
205326,1983,853.94
205330,1983,233.08
205328,1983,642.14
205332,1983,337.59
205337,1983,225.57
205350,1983,689.38
205355,1983,450.95
205352,1983,118.87
205356,1983,223.58
205362,1983,82.19
205361,1983,179.69
206026,1983,42.58
206263,1983,464.25
207590,1983,1243.8
207866,1983,95.86
208022,1983,86.38
208157,1983,693.03
208187,1983,467.46
208191,1983,330.1
208193,1983,111.64
