HYBAS_ID,station_id,DATE,Q
1040571900,200007,1981,125.51115
1040571900,200007,1982,74.719
1040571900,200007,1983,0
1040571900,200007,1984,0
1040571900,200007,1985,160.394075
1040571900,200007,1986,118.2991125
1040571900,200007,1987,184.029675
1040571900,200007,1988,356.2751
1040571900,200007,1989,260.62965
1040571900,200007,1990,38.6878125
1040571900,200007,1991,50.115875
1040571900,200007,1992,0
1040571900,200007,1993,155.5342375
1040571900,200007,1994,181.6848
1040571900,200007,1995,125.134675
1040571900,200007,1996,101.303125
1040571900,200007,1997,64.195375
1040571900,200007,1998,295.1203625
1040571900,200007,1999,165.6382625
1040571900,200007,2000,82.354575
1040571900,200007,2001,98.291675
1040571900,200007,2002,0
1040571900,200007,2003,369.3553625
1040571900,200007,2004,207.46645
1040571900,200007,2005,149.214525
1040571900,200007,2006,65.4649875
1040571900,200007,2007,302.9617875
1040571900,200007,2008,241.4443625
1040571900,200007,2009,532.32065
1040571900,200007,2010,719.2346375
1040571900,200007,2011,199.1249125
1040571900,200007,2012,208.4061625
1040571900,200007,2013,251.241625
1040571900,200007,2014,43.9253375
1040571900,200007,2015,122.307575
1040571900,200007,2016,207.6718375
1040571900,200007,2017,205.4126375
1040571900,200007,2018,146.521625
1040571900,200007,2019,54.7393625
1040571900,200007,2020,854.46975
1040571900,200007,2021,315.9967375
1040571900,200007,2022,308.8230875
1040571900,200007,2023,293.8975625
1040571900,200007,2024,223.9174125
1040641670,200011,1981,756.545847222222
1040641670,200011,1982,450.127458333333
1040641670,200011,1983,318.023444444444
1040641670,200011,1984,261.541041666667
1040641670,200011,1985,555.656527777778
1040641670,200011,1986,582.38875
1040641670,200011,1987,455.769166666667
1040641670,200011,1988,976.215791666667
1040641670,200011,1989,962.696291666667
1040641670,200011,1990,641.230027777778
1040641670,200011,1991,769.554763888889
1040641670,200011,1992,609.416291666667
1040641670,200011,1993,619.229583333333
1040641670,200011,1994,1214.50945833333
1040641670,200011,1995,689.268402777778
1040641670,200011,1996,676.201986111111
1040641670,200011,1997,737.5955
1040641670,200011,1998,1089.73066666667
1040641670,200011,1999,1189.12784722222
1040641670,200011,2000,783.179305555556
1040641670,200011,2001,608.277361111111
1040641670,200011,2002,360.216291666667
1040641670,200011,2003,910.099805555556
1040641670,200011,2004,845.277444444444
1040641670,200011,2005,651.865069444444
1040641670,200011,2006,689.487819444444
1040641670,200011,2007,913.332916666667
1040641670,200011,2008,1139.06672222222
1040641670,200011,2009,820.862680555556
1040641670,200011,2010,1221.40823611111
1040641670,200011,2011,813.763291666667
1040641670,200011,2012,1258.69872222222
1040641670,200011,2013,802.742361111111
1040641670,200011,2014,998.364694444444
1040641670,200011,2015,849.699444444444
1040641670,200011,2016,913.204805555556
1040641670,200011,2017,533.023208333333
1040641670,200011,2018,1206.49683333333
1040641670,200011,2019,1141.51394444444
1040641670,200011,2020,1159.13825
1040641670,200011,2021,1078.88501388889
1040641670,200011,2022,1220.85965277778
1040641670,200011,2023,804.431194444444
1040641670,200011,2024,1636.94302777778
1040024080,200156,1981,1926.26943835616
1040024080,200156,1982,1376.63235616438
1040024080,200156,1983,1855.98593150685
1040024080,200156,1984,1116.22198630137
1040024080,200156,1985,1999.37801369863
1040024080,200156,1986,2124.74376712329
1040024080,200156,1987,1629.82219178082
1040024080,200156,1988,1879.35812328767
1040024080,200156,1989,1865.64510958904
1040024080,200156,1990,1217.55736986301
1040024080,200156,1991,2397.32216438356
1040024080,200156,1992,1797.77598630137
1040024080,200156,1993,1736.26128767123
1040024080,200156,1994,2042.27945205479
1040024080,200156,1995,1988.8957260274
1040024080,200156,1996,2239.19449315069
1040024080,200156,1997,1635.37860273973
1040024080,200156,1998,2670.69512328767
1040024080,200156,1999,1770.55563013699
1040024080,200156,2000,1895.02787671233
1040024080,200156,2001,1776.54504109589
1040024080,200156,2002,1463.60002739726
1040024080,200156,2003,1835.55128767123
1040024080,200156,2004,718.134356164384
1040024080,200156,2005,225.349246575342
1040024080,200156,2006,2053.97417808219
1040024080,200156,2007,664.549328767123
1040024080,200156,2008,1927.86979452055
1040024080,200156,2009,451.427178082192
1040024080,200156,2010,235.633260273973
1040024080,200156,2011,978.29698630137
1040024080,200156,2012,1299.69689041096
1040024080,200156,2013,1443.72680821918
1040024080,200156,2014,1804.56124657534
1040024080,200156,2015,402.392657534247
1040024080,200156,2016,1084.37612328767
1040024080,200156,2017,1853.89169863014
1040024080,200156,2018,993.652643835616
1040024080,200156,2019,1177.98105479452
1040024080,200156,2020,1074.35260273973
1040024080,200156,2021,1362.05879452055
1040024080,200156,2022,1263.53401369863
1040024080,200156,2023,1593.1671369863
1040024080,200156,2024,1757.63045205479
1040722720,200418,1981,1374.72301851852
1040722720,200418,1982,1294.466
1040722720,200418,1983,1063.57314814815
1040722720,200418,1984,879.448518518519
1040722720,200418,1985,1072.57281481481
1040722720,200418,1986,1305.4457037037
1040722720,200418,1987,1013.27357407407
1040722720,200418,1988,1729.25875925926
1040722720,200418,1989,1514.775
1040722720,200418,1990,1382.18007407407
1040722720,200418,1991,1583.77412962963
1040722720,200418,1992,1645.51837037037
1040722720,200418,1993,1236.83755555556
1040722720,200418,1994,2007.43081481481
1040722720,200418,1995,1390.38266666667
1040722720,200418,1996,1476.58392592593
1040722720,200418,1997,1278.83083333333
1040722720,200418,1998,2169.53131481481
1040722720,200418,1999,2325.21435185185
1040722720,200418,2000,1527.442
1040722720,200418,2001,1412.6072037037
1040722720,200418,2002,1074.47096296296
1040722720,200418,2003,2290.29368518519
1040722720,200418,2004,1593.29003703704
1040722720,200418,2005,1529.97240740741
1040722720,200418,2006,1320.23262962963
1040722720,200418,2007,1813.58744444444
1040722720,200418,2008,1915.83442592593
1040722720,200418,2009,1896.74909259259
1040722720,200418,2010,1817.24251851852
1040722720,200418,2011,1632.25911111111
1040722720,200418,2012,2186.73009259259
1040722720,200418,2013,1500.40044444444
1040722720,200418,2014,1860.70348148148
1040722720,200418,2015,1452.1462962963
1040722720,200418,2016,1721.4795
1040722720,200418,2017,1830.13859259259
1040722720,200418,2018,1527.72692592593
1040722720,200418,2019,1712.18909259259
1040722720,200418,2020,2113.02575925926
1040722720,200418,2021,1735.67031481481
1040722720,200418,2022,1893.89064814815
1040722720,200418,2023,1575.83077777778
1040722720,200418,2024,2354.31761111111
1040695300,200837,1981,112.016135135135
1040695300,200837,1982,121.794824324324
1040695300,200837,1983,32.3034324324324
1040695300,200837,1984,10.1993648648649
1040695300,200837,1985,26.0858378378378
1040695300,200837,1986,72.0022027027027
1040695300,200837,1987,28.1990540540541
1040695300,200837,1988,277.916067567568
1040695300,200837,1989,189.941324324324
1040695300,200837,1990,85.9277297297297
1040695300,200837,1991,150.345445945946
1040695300,200837,1992,186.438256756757
1040695300,200837,1993,202.718351351351
1040695300,200837,1994,414.735783783784
1040695300,200837,1995,129.796189189189
1040695300,200837,1996,143.251445945946
1040695300,200837,1997,156.863
1040695300,200837,1998,330.295783783784
1040695300,200837,1999,507.023891891892
1040695300,200837,2000,209.87472972973
1040695300,200837,2001,393.166972972973
1040695300,200837,2002,211.883472972973
1040695300,200837,2003,283.570432432432
1040695300,200837,2004,175.406216216216
1040695300,200837,2005,331.159608108108
1040695300,200837,2006,238.570351351351
1040695300,200837,2007,364.947608108108
1040695300,200837,2008,311.831013513514
1040695300,200837,2009,241.704932432432
1040695300,200837,2010,450.726310810811
1040695300,200837,2011,412.193864864865
1040695300,200837,2012,639.355148648649
