HYBAS_ID,DATE,Q
200012,1981,132.81
200023,1981,9.47
200077,1981,19.64
200257,1981,104.95
200616,1981,26.3
200753,1981,5.54
200936,1981,199.07
201023,1981,25.82
201100,1981,181.73
201136,1981,46.33
201333,1981,79.26
201424,1981,977.58
201447,1981,1074.47
201448,1981,1051.28
201666,1981,8.12
201768,1981,162.88
201805,1981,135.41
202904,1981,23.18
202984,1981,134.75
202993,1981,5.92
203011,1981,37.78
203019,1981,269.13
203223,1981,14.74
203284,1981,72.25
203291,1981,45.41
203480,1981,14.68
203541,1981,7.91
203614,1981,19.73
204036,1981,85.56
204067,1981,33.36
204330,1981,91.53
204382,1981,146.19
204594,1981,902.84
204663,1981,62.62
204685,1981,264.8
204693,1981,1006.01
204830,1981,591.54
204835,1981,680.59
204833,1981,943.36
204842,1981,616.29
204850,1981,95.85
204848,1981,616.5
205045,1981,111.08
205092,1981,261.42
205121,1981,107.09
205316,1981,1169.9
205383,1981,21.25
205597,1981,274.74
205714,1981,185.25
205801,1981,39.81
206027,1981,67.81
206112,1981,152.32
206173,1981,5.8
206205,1981,158.55
206240,1981,17
206357,1981,395.73
206407,1981,252.8
206426,1981,1.3
206640,1981,120.83
206691,1981,109.8
206720,1981,43.91
206725,1981,41.02
206777,1981,56.93
206866,1981,20.93
206958,1981,10.44
207000,1981,37.26
207063,1981,6.22
207107,1981,11.95
207164,1981,25.07
207187,1981,424.04
207374,1981,349.34
207486,1981,79.7
207679,1981,38.96
207709,1981,636.75
207739,1981,61.52
207758,1981,64.43
207799,1981,86.84
207866,1981,102.61
207943,1981,659.01
207950,1981,216.41
207963,1981,28.87
207962,1981,218.28
207969,1981,135.35
207991,1981,9.28
208110,1981,843.93
208154,1981,239.02
208169,1981,51.11
208222,1981,587.84
208226,1981,8.36
208230,1981,12.1
208229,1981,1.24
208228,1981,470.2
208236,1981,198.15
208241,1981,636.62
208268,1981,27.02
208363,1981,912.72
208371,1981,342.62
208396,1981,39.5
208466,1981,514.57
208526,1981,35.45
208541,1981,65.85
208566,1981,39.12
208603,1981,27.92
208604,1981,29.72
208688,1981,386.69
208720,1981,22.78
208753,1981,84.21
208845,1981,12.52
208869,1981,338.38
208888,1981,15.09
208915,1981,19.69
208953,1981,9.03
212032,1981,473.96
200012,1982,88.97
200023,1982,8.25
200077,1982,10.41
200257,1982,54.69
200616,1982,11.31
200753,1982,2.27
200936,1982,224.14
201023,1982,17.5
201100,1982,176.05
201136,1982,27.06
201333,1982,45.84
201424,1982,906.99
201447,1982,1056.99
201448,1982,1045.99
201666,1982,4.39
201768,1982,116.27
201805,1982,83.97
202904,1982,5.39
202984,1982,94.75
202993,1982,4.84
203011,1982,30.58
203019,1982,280.97
203223,1982,3.55
203284,1982,43.02
203291,1982,27.22
203480,1982,9.8
203541,1982,4.07
203614,1982,16.01
204036,1982,41.09
204067,1982,12.95
204330,1982,48.33
204382,1982,148.73
204594,1982,949.42
204663,1982,72.34
204685,1982,200.01
204693,1982,1023.79
204830,1982,373.56
204835,1982,748.24
204833,1982,893.11
204842,1982,676.28
204850,1982,43.01
204848,1982,676.68
205045,1982,76.31
205092,1982,170.32
205121,1982,87.13
205316,1982,865.7
205383,1982,3.4
205597,1982,134
205714,1982,115.4
205801,1982,14.57
206027,1982,36
206112,1982,72.48
206173,1982,2.5
206205,1982,157.26
206240,1982,11.36
206357,1982,251.44
206407,1982,209.36
206426,1982,0.34
206640,1982,63.25
206691,1982,114.41
206720,1982,26.43
206725,1982,12.49
206777,1982,36.5
206866,1982,10.16
206958,1982,8.11
207000,1982,27.35
207063,1982,4.23
207107,1982,4.54
207164,1982,16.39
207187,1982,218.78
207374,1982,167.37
207486,1982,45.34
207679,1982,25.59
207709,1982,416.99
207739,1982,65.99
207758,1982,72.84
207799,1982,55.97
207866,1982,114.57
207943,1982,636.81
207950,1982,187.39
207963,1982,26.94
207962,1982,163.06
207969,1982,147.6
207991,1982,0.41
208110,1982,823.48
208154,1982,189.83
208169,1982,34.71
208222,1982,430.92
208226,1982,4.01
208230,1982,5.94
208229,1982,0.25
208228,1982,517.71
208236,1982,151.8
208241,1982,416.04
208268,1982,17.97
208363,1982,989.61
208371,1982,354.52
208396,1982,28.11
208466,1982,329.37
208526,1982,22.87
208541,1982,36.23
208566,1982,28.07
208603,1982,6.98
208604,1982,20.91
208688,1982,388.16
208720,1982,5.92
208753,1982,69.54
208845,1982,7.88
208869,1982,220.67
208888,1982,7.39
208915,1982,15.01
208953,1982,2.31
212032,1982,415.7
200012,1983,112.84
200023,1983,8.16
200077,1983,5.26
200257,1983,89.48
200616,1983,23.74
200753,1983,1.49
200936,1983,218.25
201023,1983,19.79
201100,1983,164.47
201136,1983,17.77
201333,1983,47.81
201424,1983,879.31
201447,1983,947.77
201448,1983,928.44
201666,1983,13.26
201768,1983,61.89
201805,1983,38.5
202904,1983,5.19
202984,1983,57.23
202993,1983,3.43
203011,1983,37.15
203019,1983,232.61
203223,1983,4.63
203284,1983,25.24
203291,1983,14.64
203480,1983,4.79
203541,1983,1.72
203614,1983,10.45
204036,1983,35.7
204067,1983,6.1
204330,1983,82.99
204382,1983,119.08
204594,1983,790.66
204663,1983,65.77
204685,1983,197.5
204693,1983,891.38
204830,1983,176.9
204835,1983,690.57
204833,1983,850.09
204842,1983,632.02
204850,1983,34.61
204848,1983,632.17
205045,1983,40.16
205092,1983,97.16
205121,1983,74.81
205316,1983,788.06
205383,1983,5.5
205597,1983,250.18
205714,1983,60.78
205801,1983,38.15
206027,1983,16.68
206112,1983,63.14
206173,1983,4.42
206205,1983,130.98
206240,1983,5.31
206357,1983,274.54
206407,1983,199.97
206426,1983,3.79
206640,1983,108.25
206691,1983,107.61
206720,1983,40.94
206725,1983,38.12
206777,1983,25.67
206866,1983,11.24
206958,1983,5.41
207000,1983,16.73
207063,1983,1.24
207107,1983,3.6
207164,1983,15.55
207187,1983,177.41
207374,1983,128.48
207486,1983,25.78
207679,1983,13.13
207709,1983,199.29
207739,1983,64.04
207758,1983,50.99
207799,1983,26.75
207866,1983,95.86
207943,1983,568.36
207950,1983,184.84
207963,1983,31.01
207962,1983,93.23
207969,1983,117.74
207991,1983,6.21
208110,1983,755.37
208154,1983,157.33
208169,1983,20.1
208222,1983,412.97
208226,1983,3.7
208230,1983,5.98
208229,1983,0.2
