"approach","predictor","fuser","HYBAS_ID","kge_final","rmse_final"
"ML","PRCP","rf","1050021910",0.926970267090655,139.262268168714
"ML","PRCP","rf","1050021920",0.869728987547222,5.89854638757612
"ML","PRCP","rf","1050021940",0.825725869018975,69.3844723035496
"ML","PRCP","rf","1050022420",0.94096323958614,163.831924559453
"ML","PRCP","rf","1050022430",0.874047821708728,25.6828767609237
"ML","PRCP","rf","1050022910",0.927187986216854,14.6603008294316
"ML","PRCP","rf","1050022920",0.841600124307075,26.7835741671554
"ML","PRCP","rf","1050023020",0.95020549461441,55.2343583976966
"ML","PRCP","rf","1050023050",0.783504724079728,93.354020273543
"ML","PRCP","rf","1050023060",0.826025749472137,6.46935413579662
"ML","PRCP","rf","1050023130",0.904165699313321,7.8710011889113
"ML","PRCP","rf","1050023140",0.846144410455528,12.9441590594447
"ML","PRCP","rf","1050023300",0.948220364218469,15.1162046211366
"ML","PRCP","rf","1050023310",0.884445907939049,65.0653474505496
"ML","PRCP","rf","1050023890",0.864066207359651,46.2366238637423
"ML","PRCP","rf","1050023900",0.942056518419506,28.4596855697717
"ML","PRCP","rf","1050023950",0.948735835986488,30.3084301130829
"ML","PRCP","rf","1050023960",0.792520023594525,58.0286354967352
"ML","PRCP","rf","1050024070",0.783060456650182,13.4917028411585
"ML","PRCP","rf","1050024080",0.786259998367952,27.3933169579178
"ML","PRCP","rf","1050024310",0.963998465615705,35.3457860155925
"ML","PRCP","rf","1050024320",0.866562077243096,41.7780169574732
"ML","PRCP","rf","1050024870",0.915235530728908,61.7587818118639
"ML","PRCP","rf","1050870170",0.941354449105019,29.504668766221
"ML","PRCP","rf","1050873640",0.867079112112185,41.2055041551456
"ML","PRCP","rf","1050874640",0.888648685853423,79.1931660026076
"ML","PRCP","rf","1050887720",0.963455392298775,1.06525078413598
"ML","PRCP","rf","1050888070",0.942994691187962,30.1137741336044
"ML","PRCP","rf","1050892990",0.921676300763394,38.1820563028712
"ML","PRCP","rf","1050893000",0.955583769103906,7.26425212546159
"ML","PRCP","rf","1050908780",0.69344514635287,267.169241960925
"ML","PRCP","rf","1050909040",0.894647845379258,84.3283889869002
"ML","PRCP","rf","1050909890",0.667599862946127,500.107321617413
"ML","PRCP","rf","1050909900",0.925743682397622,137.886416349071
"ML","PRCP","rf","1050915980",0.760379467258831,95.633576184329
"ML","PRCP","rf","1050915990",0.892557112990111,22.8142482129657
