"approach","predictor","fuser","HYBAS_ID","kge_final","rmse_final"
"STAT","SST","rf","1040022430",0.615267386390338,2.25004487463707
"STAT","SST","rf","1040023300",0.694721179694826,83.8608933596212
"STAT","SST","rf","1040023310",0.41255884922872,5.65649592502268
"STAT","SST","rf","1040023890",0.824023932380419,48.8573686167017
"STAT","SST","rf","1040786690",0.876742543152132,44.7737132412987
"STAT","SST","rf","1040873640",NA,204.282367380714
"STAT","SST","rf","1040873650",0.921714750690679,17.6321464940325
"STAT","SST","rf","1040915980",0.647658109068193,140.803046793571
"STAT","SST","rf","1040915990",0.713768041523556,43.9649919215399
