"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"PRCP","ML","rf","1050021940","SVMLINEAR","GEOSS2S",-0.401581035088889,0
"PRCP","ML","rf","1050021940","SVMLINEAR","SEAS51b",-0.435846630345126,0
"PRCP","ML","rf","1050021940","SVMLINEAR","CCSM4",-0.500105597148242,0
"PRCP","ML","rf","1050021940","SVMLINEAR","SEAS51c",-0.610316555456156,0
"PRCP","ML","rf","1050021940","MLP","CESM1",0.93160976992719,1
"PRCP","ML","rf","1050021940","MLP","SEAS51c",0.860117851127969,0
"PRCP","ML","rf","1050021940","MLP","CCSM4",0.718125292561658,0
"PRCP","ML","rf","1050021940","MLP","GEOSS2S",0.705313257492563,0
"PRCP","ML","rf","1050021940","MLP","CFSv2",0.630400998495053,0
"PRCP","ML","rf","1050021940","MLP","CanSIPSIC4",0.622737604830524,0
"PRCP","ML","rf","1050021940","MLP","METEOFRANCE9",0.494979197202396,0
"PRCP","ML","rf","1050021940","MLP","SEAS51b",0.078183970757228,0
"PRCP","ML","rf","1050021940","MLP","SEAS51",0.0771028670328393,0
"PRCP","ML","rf","1050022420","RF","CCSM4",0.582554667962303,1
"PRCP","ML","rf","1050022420","RF","SEAS51c",0.380869788598312,0
"PRCP","ML","rf","1050022420","RF","CFSv2",0.289322522505435,0
"PRCP","ML","rf","1050022420","RF","CESM1",-0.0243383898714664,0
"PRCP","ML","rf","1050022420","RF","SEAS51",-0.0642021265809223,0
"PRCP","ML","rf","1050022420","RF","CanSIPSIC4",-0.111177233871008,0
"PRCP","ML","rf","1050022420","RF","SEAS51b",-0.13062089380751,0
"PRCP","ML","rf","1050022420","RF","METEOFRANCE9",-0.243675661356725,0
"PRCP","ML","rf","1050022420","RF","GEOSS2S",-0.313167162938009,0
"PRCP","ML","rf","1050022420","SVMLINEAR","GEOSS2S",0.564351210749426,1
"PRCP","ML","rf","1050022420","SVMLINEAR","SEAS51c",0.260049023990231,0
"PRCP","ML","rf","1050022420","SVMLINEAR","CanSIPSIC4",0.211178203639231,0
"PRCP","ML","rf","1050022420","SVMLINEAR","SEAS51",-0.0167228144202154,0
"PRCP","ML","rf","1050022420","SVMLINEAR","CFSv2",-0.0783942429897355,0
"PRCP","ML","rf","1050022420","SVMLINEAR","CCSM4",-0.083142087947,0
"PRCP","ML","rf","1050022420","SVMLINEAR","SEAS51b",-0.0947926418455038,0
"PRCP","ML","rf","1050022420","SVMLINEAR","CESM1",-0.258945702866236,0
"PRCP","ML","rf","1050022420","SVMLINEAR","METEOFRANCE9",-0.279766638081812,0
"PRCP","ML","rf","1050022420","MLP","CCSM4",0.833560185585932,1
"PRCP","ML","rf","1050022420","MLP","CESM1",0.785931067043849,0
"PRCP","ML","rf","1050022420","MLP","CanSIPSIC4",0.781947480394721,0
"PRCP","ML","rf","1050022420","MLP","SEAS51c",0.717887627627858,0
"PRCP","ML","rf","1050022420","MLP","CFSv2",0.701238805252943,0
"PRCP","ML","rf","1050022420","MLP","METEOFRANCE9",0.63742196664542,0
"PRCP","ML","rf","1050022420","MLP","GEOSS2S",0.634497213848473,0
"PRCP","ML","rf","1050022420","MLP","SEAS51",0.120944929894672,0
"PRCP","ML","rf","1050022420","MLP","SEAS51b",0.120467805094275,0
"PRCP","ML","rf","1050022430","RF","CanSIPSIC4",0.447518251733233,1
"PRCP","ML","rf","1050022430","RF","CCSM4",0.150938596092589,0
"PRCP","ML","rf","1050022430","RF","CESM1",0.138301711069712,0
"PRCP","ML","rf","1050022430","RF","CFSv2",-0.00956903772384887,0
"PRCP","ML","rf","1050022430","RF","SEAS51b",-0.306426278204448,0
"PRCP","ML","rf","1050022430","RF","SEAS51",-0.336436799389134,0
"PRCP","ML","rf","1050022430","RF","METEOFRANCE9",-0.410892347548533,0
"PRCP","ML","rf","1050022430","RF","GEOSS2S",-0.506791431464415,0
"PRCP","ML","rf","1050022430","RF","SEAS51c",-0.694378533400193,0
"PRCP","ML","rf","1050022430","SVMLINEAR","CanSIPSIC4",0.410782583974852,1
"PRCP","ML","rf","1050022430","SVMLINEAR","SEAS51c",-0.0626480776329175,0
"PRCP","ML","rf","1050022430","SVMLINEAR","CFSv2",-0.121176465621984,0
"PRCP","ML","rf","1050022430","SVMLINEAR","GEOSS2S",-0.141052463400053,0
"PRCP","ML","rf","1050022430","SVMLINEAR","CCSM4",-0.19136869058386,0
"PRCP","ML","rf","1050022430","SVMLINEAR","CESM1",-0.240310488529979,0
"PRCP","ML","rf","1050022430","SVMLINEAR","SEAS51",-0.266089780707135,0
"PRCP","ML","rf","1050022430","SVMLINEAR","SEAS51b",-0.342401743612151,0
"PRCP","ML","rf","1050022430","SVMLINEAR","METEOFRANCE9",-0.482468062869005,0
"PRCP","ML","rf","1050022430","MLP","GEOSS2S",0.744097769127954,1
"PRCP","ML","rf","1050022430","MLP","CanSIPSIC4",0.734317786882778,0
"PRCP","ML","rf","1050022430","MLP","CESM1",0.711994289887295,0
"PRCP","ML","rf","1050022430","MLP","METEOFRANCE9",0.631205685491115,0
"PRCP","ML","rf","1050022430","MLP","CCSM4",0.628890953635077,0
"PRCP","ML","rf","1050022430","MLP","SEAS51c",0.492225664466653,0
"PRCP","ML","rf","1050022430","MLP","CFSv2",0.220906314568083,0
"PRCP","ML","rf","1050022430","MLP","SEAS51",0.04883835784324,0
"PRCP","ML","rf","1050022430","MLP","SEAS51b",0.0377626958390443,0
"PRCP","ML","rf","1050022910","RF","CCSM4",0.391716699814466,1
"PRCP","ML","rf","1050022910","RF","CanSIPSIC4",0.353792935412715,0
"PRCP","ML","rf","1050022910","RF","CESM1",0.335739143664912,0
"PRCP","ML","rf","1050022910","RF","CFSv2",0.0555954153403282,0
"PRCP","ML","rf","1050022910","RF","METEOFRANCE9",-0.119192550522804,0
"PRCP","ML","rf","1050022910","RF","SEAS51c",-0.185725273699069,0
"PRCP","ML","rf","1050022910","RF","SEAS51b",-0.223793158639364,0
"PRCP","ML","rf","1050022910","RF","SEAS51",-0.255824950897,0
"PRCP","ML","rf","1050022910","RF","GEOSS2S",-0.579040443573794,0
"PRCP","ML","rf","1050022910","SVMLINEAR","CanSIPSIC4",0.238957854121805,1
"PRCP","ML","rf","1050022910","SVMLINEAR","CCSM4",0.214493233375104,0
"PRCP","ML","rf","1050022910","SVMLINEAR","CESM1",0.204387201831135,0
"PRCP","ML","rf","1050022910","SVMLINEAR","METEOFRANCE9",0.169560861430064,0
"PRCP","ML","rf","1050022910","SVMLINEAR","SEAS51b",-0.208629884921672,0
"PRCP","ML","rf","1050022910","SVMLINEAR","SEAS51",-0.228413994674951,0
"PRCP","ML","rf","1050022910","SVMLINEAR","CFSv2",-0.306518585661787,0
"PRCP","ML","rf","1050022910","SVMLINEAR","GEOSS2S",-0.636998126499817,0
"PRCP","ML","rf","1050022910","SVMLINEAR","SEAS51c",-0.705755393619544,0
"PRCP","ML","rf","1050022910","MLP","CanSIPSIC4",0.880512264996735,1
"PRCP","ML","rf","1050022910","MLP","SEAS51c",0.846616973316706,0
"PRCP","ML","rf","1050022910","MLP","CCSM4",0.824626582535219,0
"PRCP","ML","rf","1050022910","MLP","CFSv2",0.76416633143527,0
"PRCP","ML","rf","1050022910","MLP","METEOFRANCE9",0.672589095014288,0
"PRCP","ML","rf","1050022910","MLP","CESM1",0.613884545096987,0
"PRCP","ML","rf","1050022910","MLP","GEOSS2S",0.379383662072682,0
"PRCP","ML","rf","1050022910","MLP","SEAS51",0.0427756753940348,0
"PRCP","ML","rf","1050022910","MLP","SEAS51b",0.0346137189695659,0
"PRCP","ML","rf","1050022920","RF","CCSM4",0.534030354451001,1
"PRCP","ML","rf","1050022920","RF","CESM1",0.260075897485208,0
"PRCP","ML","rf","1050022920","RF","GEOSS2S",-0.00858504521600501,0
"PRCP","ML","rf","1050022920","RF","CanSIPSIC4",-0.0829378645476895,0
"PRCP","ML","rf","1050022920","RF","SEAS51",-0.322582847686477,0
"PRCP","ML","rf","1050022920","RF","SEAS51b",-0.322582847686477,0
"PRCP","ML","rf","1050022920","RF","CFSv2",-0.381023941679273,0
"PRCP","ML","rf","1050022920","RF","METEOFRANCE9",-0.608089665121359,0
"PRCP","ML","rf","1050022920","RF","SEAS51c",-0.615203498599483,0
"PRCP","ML","rf","1050022920","SVMLINEAR","CCSM4",-0.0340850772277099,1
"PRCP","ML","rf","1050022920","SVMLINEAR","CESM1",-0.10494730763446,0
"PRCP","ML","rf","1050022920","SVMLINEAR","SEAS51c",-0.124976964738174,0
"PRCP","ML","rf","1050022920","SVMLINEAR","SEAS51",-0.333530061946387,0
"PRCP","ML","rf","1050022920","SVMLINEAR","SEAS51b",-0.333530061946387,0
"PRCP","ML","rf","1050022920","SVMLINEAR","METEOFRANCE9",-0.44182823538173,0
"PRCP","ML","rf","1050022920","SVMLINEAR","CFSv2",-0.497711055476205,0
"PRCP","ML","rf","1050022920","SVMLINEAR","CanSIPSIC4",-0.517619912690489,0
"PRCP","ML","rf","1050022920","SVMLINEAR","GEOSS2S",-0.68792433442387,0
"PRCP","ML","rf","1050022920","MLP","SEAS51c",0.820262895416091,1
"PRCP","ML","rf","1050022920","MLP","CCSM4",0.818396462576721,0
"PRCP","ML","rf","1050022920","MLP","GEOSS2S",0.743710445492208,0
"PRCP","ML","rf","1050022920","MLP","METEOFRANCE9",0.740830427490409,0
"PRCP","ML","rf","1050022920","MLP","CESM1",0.631494213829373,0
"PRCP","ML","rf","1050022920","MLP","CanSIPSIC4",0.50321112313667,0
"PRCP","ML","rf","1050022920","MLP","CFSv2",0.349222086600332,0
"PRCP","ML","rf","1050022920","MLP","SEAS51",0.0690697043815836,0
"PRCP","ML","rf","1050022920","MLP","SEAS51b",0.0690697043815836,0
"PRCP","ML","rf","1050023020","RF","CCSM4",0.269837758403731,1
"PRCP","ML","rf","1050023020","RF","CESM1",0.0529599297009545,0
"PRCP","ML","rf","1050023020","RF","METEOFRANCE9",-0.06847452529148,0
"PRCP","ML","rf","1050023020","RF","CFSv2",-0.141138617555796,0
"PRCP","ML","rf","1050023020","RF","SEAS51c",-0.229546866554023,0
"PRCP","ML","rf","1050023020","RF","SEAS51",-0.286481638459843,0
"PRCP","ML","rf","1050023020","RF","SEAS51b",-0.310438828050018,0
"PRCP","ML","rf","1050023020","RF","GEOSS2S",-0.425308764257951,0
"PRCP","ML","rf","1050023020","RF","CanSIPSIC4",-0.664659741718397,0
"PRCP","ML","rf","1050023020","SVMLINEAR","GEOSS2S",0.312219520709915,1
"PRCP","ML","rf","1050023020","SVMLINEAR","CESM1",0.0354805064700701,0
"PRCP","ML","rf","1050023020","SVMLINEAR","CCSM4",-0.0115380618252063,0
"PRCP","ML","rf","1050023020","SVMLINEAR","SEAS51c",-0.0566771723257076,0
"PRCP","ML","rf","1050023020","SVMLINEAR","CanSIPSIC4",-0.138133694879501,0
"PRCP","ML","rf","1050023020","SVMLINEAR","SEAS51",-0.171626348883947,0
"PRCP","ML","rf","1050023020","SVMLINEAR","SEAS51b",-0.191061528090074,0
"PRCP","ML","rf","1050023020","SVMLINEAR","CFSv2",-0.24728462725923,0
"PRCP","ML","rf","1050023020","SVMLINEAR","METEOFRANCE9",-0.429665538158952,0
"PRCP","ML","rf","1050023020","MLP","SEAS51c",0.740807479492677,1
"PRCP","ML","rf","1050023020","MLP","CCSM4",0.680940237138188,0
"PRCP","ML","rf","1050023020","MLP","GEOSS2S",0.671505960222696,0
"PRCP","ML","rf","1050023020","MLP","METEOFRANCE9",0.632562567624255,0
"PRCP","ML","rf","1050023020","MLP","CESM1",0.607238606119134,0
"PRCP","ML","rf","1050023020","MLP","CanSIPSIC4",0.537778679484044,0
