HYBAS_ID,YYYY,Q,pred
1040022430,19930101,15,14.4215
1040022430,19940101,4,4.0485
1040022430,19950101,6,5.871
1040022430,19960101,10,9.501
1040022430,19970101,16,14.9265
1040022430,19980101,2,2.49
1040022430,19990101,9,9.3635
1040022430,20000101,2,2.38
1040022430,20010101,4,4.1735
1040022430,20020101,11,10.3085
1040022430,20030101,6,6.4204
1040022430,20040101,8,7.90333333333333
1040022430,20050101,7,7.02433333333333
1040022430,20060101,5,5.5155
1040022430,20070101,10,9.19366666666667
1040022430,20080101,7,7.0415
1040022430,20090101,22,19.6035
1040022430,20100101,16,16.0145
1040022430,20110101,8,7.89133333333333
1040022430,20120101,9,10.8395
1040022430,20130101,4,4.3915
1040022430,20140101,6,5.762
1040022430,20150101,7,7.7385
1040022430,20160101,4,3.6705
1040022430,20170101,9,8.655
1040022430,20180101,4,4.084
1040022430,20190101,6,6.04795
1040022430,20200101,6,5.7035
1040022430,20210101,4,4.1785
1040022430,20220101,8,7.8525
1040022430,20230101,5,4.691
1040022430,20240101,7,6.86795
1040022430,20250101,7,6.9814
1040022430,20260101,7,7.03483333333333
1040023300,19930101,1107,1082.708
1040023300,19940101,1041,1061.42
1040023300,19950101,1129,1127.6785
1040023300,19960101,1199,1193.831
1040023300,19970101,1235,1211.672
1040023300,19980101,1038,1042.481
1040023300,19990101,1063,1071.2
1040023300,20000101,1339,1347.9155
1040023300,20010101,1231,1222.308
1040023300,20020101,1041,1045.067
1040023300,20030101,1023,1047.275
1040023300,20040101,1257,1248.775
1040023300,20050101,1216,1202.969
1040023300,20060101,1139,1125.729
1040023300,20070101,1048,1067.102
1040023300,20080101,1173,1188.4525
1040023300,20090101,1477,1477.542
1040023300,20100101,1522,1514.1445
1040023300,20110101,1466,1477.5095
1040023300,20120101,1172,1184.8995
1040023300,20130101,1096,1098.456
1040023300,20140101,916,961.014
1040023300,20150101,900,925.8965
1040023300,20160101,949,955.367
1040023300,20170101,1119,1092.541
1040023300,20180101,920,929.5965
1040023300,20190101,988,965.3825
1040023300,20200101,1134,1156.279
1040023300,20210101,1117,1067.503
1040023300,20220101,1394,1338.518
1040023300,20230101,1493,1493.448
1040023300,20240101,1584,1553.5785
1040023300,20250101,1537,1535.8205
1040023300,20260101,1134,1101.753
1040023310,19930101,19,17.9885
1040023310,19940101,14,14.22
1040023310,19950101,15,15.9205
1040023310,19960101,28,28.341
1040023310,19970101,36,34.8255
1040023310,19980101,4,4.374
1040023310,19990101,17,17.126
1040023310,20000101,25,26.554
1040023310,20010101,13,12.7625
1040023310,20020101,7,7.4035
1040023310,20030101,8,7.878
1040023310,20040101,7,7.208
1040023310,20050101,17,16.5985
1040023310,20060101,12,12.0155
1040023310,20070101,7,7.5935
1040023310,20080101,17,17.159
1040023310,20090101,17,17.114
1040023310,20100101,9,8.2585
1040023310,20110101,9,9.337
1040023310,20120101,8,7.7905
1040023310,20130101,11,10.7
1040023310,20140101,15,15.73
1040023310,20150101,13,12.4985
1040023310,20160101,8,8.1855
1040023310,20170101,5,4.6385
1040023310,20180101,4,4.057
1040023310,20190101,2,2.97
1040023310,20200101,10,10.2175
1040023310,20210101,11,11.7715
1040023310,20220101,28,29.2685
1040023310,20230101,38,34.3395
1040023310,20240101,19,17.395
1040023310,20250101,13,14.5105
1040023310,20260101,13,11.775
1040023890,19930101,259,264.5055
1040023890,19940101,286,284.9405
1040023890,19950101,578,616.840266666667
1040023890,19960101,997,1015.45407142857
1040023890,19970101,464,464.541
1040023890,19980101,214,216.069
1040023890,19990101,476,501.4455
1040023890,20000101,436,438.5825
1040023890,20010101,537,531.667
1040023890,20020101,327,355.1565
1040023890,20030101,349,345.456
1040023890,20040101,118,130.189
1040023890,20050101,269,274.0075
1040023890,20060101,539,546.907333333333
1040023890,20070101,146,154.4935
1040023890,20080101,403,399.0665
1040023890,20090101,425,413.3675
1040023890,20100101,392,377.1705
1040023890,20110101,252,257.097
1040023890,20120101,343,352.3595
1040023890,20130101,127,137.654
1040023890,20140101,599,655.381395238095
1040023890,20150101,189,204.5465
1040023890,20160101,154,159.401
1040023890,20170101,162,153.682
1040023890,20180101,352,353.91
1040023890,20190101,224,229.55
1040023890,20200101,422,435.9995
1040023890,20210101,560,491.4505
1040023890,20220101,834,724.222
1040023890,20230101,1269,1042.93307142857
1040023890,20240101,470,443.6565
1040023890,20250101,372,342.236
1040023890,20260101,372,310.1045
1040786690,19930101,52,70.0419166666666
1040786690,19940101,333,337.208
1040786690,19950101,94,85.32125
1040786690,19960101,57,62.1165
1040786690,19970101,82,75.51425
1040786690,19980101,47,61.5653333333333
1040786690,19990101,192,167.572333333333
1040786690,20000101,128,175.90775
1040786690,20010101,183,159.2825
1040786690,20020101,77,79.9699166666667
1040786690,20030101,322,344.876583333333
1040786690,20040101,98,82.1374166666667
1040786690,20050101,49,56.49925
1040786690,20060101,139,146.260666666667
1040786690,20070101,190,190.511416666667
1040786690,20080101,688,663.914083333334
1040786690,20090101,73,81.406
1040786690,20100101,200,210.981833333333
1040786690,20110101,235,236.189666666667
1040786690,20120101,578,626.479833333333
1040786690,20130101,222,218.6655
1040786690,20140101,127,155.089
1040786690,20150101,102,114.432333333333
1040786690,20160101,827,693.515416666667
1040786690,20170101,200,205.6945
1040786690,20180101,236,246.441583333333
1040786690,20190101,399,356.824833333333
1040786690,20200101,270,237.7725
1040786690,20210101,156,157.776416666667
1040786690,20220101,554,529.754916666667
1040786690,20230101,220,210.3955
1040786690,20240101,240,236.713666666667
1040786690,20250101,191,171.897583333333
1040786690,20260101,191,198.6485
1040873640,19930101,211,203.27
1040873640,19940101,365,394.634416666666
1040873640,19950101,531,547.531
1040873640,19960101,625,603.889749999999
1040873640,19970101,523,522.610416666667
1040873640,19980101,222,235.909166666667
1040873640,19990101,662,646.983083333333
1040873640,20000101,533,586.835833333333
1040873640,20010101,276,277.616583333333
1040873640,20020101,440,440.922416666667
1040873640,20030101,830,821.864583333333
1040873640,20040101,289,275.516583333333
1040873640,20050101,621,590.082666666666
1040873640,20060101,428,441.61675
1040873640,20070101,289,286.461416666667
1040873640,20080101,794,820.460583333333
1040873640,20090101,503,519.680083333333
1040873640,20100101,589,550.519666666667
1040873640,20110101,475,446.613916666667
1040873640,20120101,657,645.156999999999
1040873640,20130101,279,277.776
1040873640,20140101,178,192.070083333333
1040873640,20150101,172,191.788083333333
1040873640,20160101,1003,913.411583333333
1040873640,20170101,481,533.35875
1040873640,20180101,400,415.4075
1040873640,20190101,415,395.42
1040873640,20200101,571,630.085166666667
1040873640,20210101,534,529.013416666667
1040873640,20220101,927,909.373916666667
1040873640,20230101,684,649.6725
1040873640,20240101,668,598.53125
1040873640,20250101,513,555.743583333333
1040873640,20260101,513,555.743583333333
1040873650,19930101,113,97.9655725579976
1040873650,19940101,84,75.6808160755911
1040873650,19950101,59,64.3360955988456
1040873650,19960101,176,170.533746275946
1040873650,19970101,208,192.541885003885
1040873650,19980101,72,67.6728803835054
1040873650,19990101,390,344.959924353425
1040873650,20000101,183,182.265079312354
1040873650,20010101,62,65.8506214119214
1040873650,20020101,31,62.8662372793873
1040873650,20030101,291,339.575051337552
1040873650,20040101,86,71.9469701326452
1040873650,20050101,341,342.905856712732
1040873650,20060101,100,101.000314746365
1040873650,20070101,134,140.662479612055
1040873650,20080101,407,344.959924353425
1040873650,20090101,112,104.949271986347
1040873650,20100101,238,250.565695448995
1040873650,20110101,124,119.655817149517
1040873650,20120101,235,251.016940809191
1040873650,20130101,63,64.8685383838384
1040873650,20140101,52,63.7655574314574
1040873650,20150101,16,62.3369393550893
1040873650,20160101,430,344.959924353425
1040873650,20170101,202,188.867248279498
1040873650,20180101,134,137.841166544567
1040873650,20190101,167,166.370956801532
1040873650,20200101,131,162.779317624043
1040873650,20210101,187,161.337356385281
1040873650,20220101,338,343.639748379399
1040873650,20230101,191,179.470682278832
1040873650,20240101,319,322.065217748918
1040873650,20250101,151,171.183602228327
1040873650,20260101,151,188.661208993784
1040915980,19930101,666,644.13004484127
1040915980,19940101,719,698.100935714286
1040915980,19950101,883,889.302209920635
1040915980,19960101,1022,1091.00232063492
1040915980,19970101,1066,1121.42281031746
1040915980,19980101,629,639.71416468254
1040915980,19990101,870,889.746426587302
1040915980,20000101,858,895.82339563492
1040915980,20010101,773,771.549835317461
1040915980,20020101,741,693.797107539683
1040915980,20030101,1067,1114.33760912698
1040915980,20040101,787,765.242701190476
1040915980,20050101,1329,1252.16299444444
1040915980,20060101,693,677.14198968254
1040915980,20070101,621,642.157472222222
1040915980,20080101,1396,1257.95043571429
1040915980,20090101,1046,1120.91003253968
1040915980,20100101,1133,1139.57160119047
1040915980,20110101,893,893.445409920635
1040915980,20120101,1165,1149.21443571428
1040915980,20130101,664,640.083180555556
1040915980,20140101,447,553.4744
1040915980,20150101,431,563.45799563492
1040915980,20160101,1207,1176.4598968254
1040915980,20170101,885,892.667036904762
1040915980,20180101,898,891.570038095238
1040915980,20190101,801,757.817171825397
1040915980,20200101,924,893.68688968254
1040915980,20210101,890,895.871146031746
1040915980,20220101,1155,1156.95419444444
1040915980,20230101,971,909.130871428571
1040915980,20240101,1153,1119.68890277778
1040915980,20250101,888,898.702184523809
1040915980,20260101,888,891.300396428571
1040915990,19930101,275,256.545878640804
1040915990,19940101,182,180.68204534632
1040915990,19950101,134,142.032968259518
1040915990,19960101,204,196.453136260961
1040915990,19970101,339,345.540311901987
1040915990,19980101,178,186.627664288489
1040915990,19990101,92,94.044503990454
1040915990,20000101,106,94.144928993229
1040915990,20010101,173,174.961041000666
1040915990,20020101,50,93.9303732212232
1040915990,20030101,219,222.532090831391
1040915990,20040101,200,207.325119042069
1040915990,20050101,563,423.41885995671
1040915990,20060101,103,94.8973923465423
1040915990,20070101,162,168.612035936286
1040915990,20080101,432,419.890326623377
1040915990,20090101,247,235.17726517094
1040915990,20100101,210,235.16723548951
1040915990,20110101,128,106.125841353091
1040915990,20120101,463,420.138529156954
1040915990,20130101,212,211.306458577534
1040915990,20140101,109,95.454029950605
1040915990,20150101,82,94.083503990454
1040915990,20160101,308,309.914113367189
1040915990,20170101,269,254.295302175602
1040915990,20180101,229,252.561473545899
1040915990,20190101,269,271.024148795649
1040915990,20200101,166,152.908477586303
1040915990,20210101,167,181.495269069819
1040915990,20220101,93,114.247987176712
1040915990,20230101,52,101.51213010323
1040915990,20240101,235,269.139368586969
1040915990,20250101,191,183.847561183261
1040915990,20260101,191,221.519069438894
