HYBAS_ID,YYYY,Q,pred
1040022430,19930101,15,14.4195
1040022430,19940101,4,4.0485
1040022430,19950101,6,5.8555
1040022430,19960101,10,9.515
1040022430,19970101,16,14.9255
1040022430,19980101,2,2.489
1040022430,19990101,9,9.3575
1040022430,20000101,2,2.379
1040022430,20010101,4,4.1745
1040022430,20020101,11,10.3045
1040022430,20030101,6,6.43583333333333
1040022430,20040101,8,7.79416666666667
1040022430,20050101,7,7.0235
1040022430,20060101,5,5.509
1040022430,20070101,10,9.21016666666667
1040022430,20080101,7,7.09093333333333
1040022430,20090101,22,19.6035
1040022430,20100101,16,16.0135
1040022430,20110101,8,7.895
1040022430,20120101,9,10.8375
1040022430,20130101,4,4.3875
1040022430,20140101,6,5.7605
1040022430,20150101,7,7.7435
1040022430,20160101,4,3.6745
1040022430,20170101,9,8.665
1040022430,20180101,4,4.086
1040022430,20190101,6,6.03226666666667
1040022430,20200101,6,5.711
1040022430,20210101,4,4.1765
1040022430,20220101,8,7.885
1040022430,20230101,5,4.6925
1040022430,20240101,7,6.75226666666667
1040022430,20260101,7,7.041
1040022430,20250101,7,6.94333333333333
1040023300,19930101,1107,1083.6245
1040023300,19940101,1041,1061.0845
1040023300,19950101,1129,1131.5485
1040023300,19960101,1199,1193.7615
1040023300,19970101,1235,1211.775
1040023300,19980101,1038,1043.259
1040023300,19990101,1063,1071.0245
1040023300,20000101,1339,1349.9735
1040023300,20010101,1231,1222.1125
1040023300,20020101,1041,1046.186
1040023300,20030101,1023,1043.741
1040023300,20040101,1257,1249.6915
1040023300,20050101,1216,1203.0215
1040023300,20060101,1139,1133.9055
1040023300,20070101,1048,1066.5315
1040023300,20080101,1173,1188.497
1040023300,20090101,1477,1477.858
1040023300,20100101,1522,1513.3985
1040023300,20110101,1466,1477.0575
1040023300,20120101,1172,1184.799
1040023300,20130101,1096,1101.9345
1040023300,20140101,916,960.914
1040023300,20150101,900,925.8065
1040023300,20160101,949,955.438
1040023300,20170101,1119,1092.161
1040023300,20180101,920,929.4185
1040023300,20190101,988,965.371
1040023300,20200101,1134,1158.8605
1040023300,20210101,1117,1067.3765
1040023300,20220101,1394,1338.387
1040023300,20230101,1493,1490.709
1040023300,20240101,1584,1541.3065
1040023300,20260101,1134,1120.332
1040023300,20250101,1537,1537.8275
1040023310,19930101,19,17.987
1040023310,19940101,14,15.216
1040023310,19950101,15,15.916
1040023310,19960101,28,28.341
1040023310,19970101,36,34.8255
1040023310,19980101,4,4.374
1040023310,19990101,17,17.128
1040023310,20000101,25,26.554
1040023310,20010101,13,12.746
1040023310,20020101,7,7.409
1040023310,20030101,8,7.8525
1040023310,20040101,7,7.2135
1040023310,20050101,17,16.595
1040023310,20060101,12,12.154
1040023310,20070101,7,7.5935
1040023310,20080101,17,17.159
1040023310,20090101,17,17.118
1040023310,20100101,9,8.26
1040023310,20110101,9,9.3125
1040023310,20120101,8,7.792
1040023310,20130101,11,10.678
1040023310,20140101,15,15.8865
1040023310,20150101,13,12.685
1040023310,20160101,8,8.159
1040023310,20170101,5,4.6385
1040023310,20180101,4,3.98
1040023310,20190101,2,2.97
1040023310,20200101,10,10.214
1040023310,20210101,11,11.8125
1040023310,20220101,28,29.2685
1040023310,20230101,38,34.3395
1040023310,20240101,19,17.594
1040023310,20260101,13,12.428
1040023310,20250101,13,16.9055
1040023890,19930101,259,265.9095
1040023890,19940101,286,289.261
1040023890,19950101,578,617.122766666667
1040023890,19960101,997,1014.78207142857
1040023890,19970101,464,463.3705
1040023890,19980101,214,212.882
1040023890,19990101,476,501.557
1040023890,20000101,436,439.016
1040023890,20010101,537,532.208
1040023890,20020101,327,355.4815
1040023890,20030101,349,339.253
1040023890,20040101,118,130.0065
1040023890,20050101,269,284.1075
1040023890,20060101,539,546.274833333333
1040023890,20070101,146,149.459
1040023890,20080101,403,398.4105
1040023890,20090101,425,413.424
1040023890,20100101,392,376.022
1040023890,20110101,252,256.9685
1040023890,20120101,343,352.4745
1040023890,20130101,127,132.7655
1040023890,20140101,599,655.370395238095
1040023890,20150101,189,205.27
1040023890,20160101,154,159.395
1040023890,20170101,162,153.469
1040023890,20180101,352,354.7545
1040023890,20190101,224,235.2835
1040023890,20200101,422,435.127
1040023890,20210101,560,487.709
1040023890,20220101,834,725.1905
1040023890,20230101,1269,1042.65807142857
1040023890,20240101,470,443.813
1040023890,20260101,372,347.906
1040023890,20250101,372,276.8735
1040786690,19930101,52,72.9580571428571
1040786690,19940101,333,347.236997619048
1040786690,19950101,94,81.0546785714285
1040786690,19960101,57,65.7628142857142
1040786690,19970101,82,75.2882023809524
1040786690,19980101,47,64.0726785714286
1040786690,19990101,192,166.757628571429
1040786690,20000101,128,171.496245238095
1040786690,20010101,183,156.115211904762
1040786690,20020101,77,79.1788238095238
1040786690,20030101,322,355.455185714286
1040786690,20040101,98,77.2865333333335
1040786690,20050101,49,59.6387095238095
1040786690,20060101,139,149.733835714286
1040786690,20070101,190,189.034873809524
1040786690,20080101,688,639.345545238095
1040786690,20090101,73,80.3429404761905
1040786690,20100101,200,216.426152380953
1040786690,20110101,235,245.438416666667
1040786690,20120101,578,634.922623809524
1040786690,20130101,222,223.481914285714
1040786690,20140101,127,161.633516666667
1040786690,20150101,102,104.676957142857
1040786690,20160101,827,645.110459523809
1040786690,20170101,200,205.428892857143
1040786690,20180101,236,258.085414285714
1040786690,20190101,399,361.633485714286
1040786690,20200101,270,233.383257142857
1040786690,20210101,156,157.161147619048
1040786690,20220101,554,548.772961904762
1040786690,20230101,220,205.768030952381
1040786690,20240101,240,235.273642857143
1040786690,20260101,191,193.091571428572
1040786690,20250101,191,148.889795238095
1040873640,19930101,211,203.27
1040873640,19940101,365,394.634416666666
1040873640,19950101,531,547.531
1040873640,19960101,625,603.889749999999
1040873640,19970101,523,522.610416666667
1040873640,19980101,222,235.909166666667
1040873640,19990101,662,646.983083333333
1040873640,20000101,533,586.835833333333
1040873640,20010101,276,277.616583333333
1040873640,20020101,440,440.922416666667
1040873640,20030101,830,821.864583333333
1040873640,20040101,289,275.516583333333
1040873640,20050101,621,590.082666666666
1040873640,20060101,428,441.61675
1040873640,20070101,289,286.461416666667
1040873640,20080101,794,820.460583333333
1040873640,20090101,503,519.680083333333
1040873640,20100101,589,550.519666666667
1040873640,20110101,475,446.613916666667
1040873640,20120101,657,645.156999999999
1040873640,20130101,279,277.776
1040873640,20140101,178,192.070083333333
1040873640,20150101,172,191.788083333333
1040873640,20160101,1003,913.411583333333
1040873640,20170101,481,533.35875
1040873640,20180101,400,415.4075
1040873640,20190101,415,395.42
1040873640,20200101,571,630.085166666667
1040873640,20210101,534,529.013416666667
1040873640,20220101,927,909.373916666667
1040873640,20230101,684,649.6725
1040873640,20240101,668,598.53125
1040873640,20260101,513,555.743583333333
1040873640,20250101,513,555.743583333333
1040873650,19930101,113,97.8480502303253
1040873650,19940101,84,75.84731995227
1040873650,19950101,59,64.4347087828838
1040873650,19960101,176,172.151867443668
1040873650,19970101,208,193.129976665001
1040873650,19980101,72,67.7347292207792
1040873650,19990101,390,344.677043903319
1040873650,20000101,183,175.028897599623
1040873650,20010101,62,65.8813457070707
1040873650,20020101,31,62.9648504634254
1040873650,20030101,291,339.297170887446
1040873650,20040101,86,72.0465321872572
1040873650,20050101,341,342.627976262627
1040873650,20060101,100,100.755750263625
1040873650,20070101,134,140.804283652459
1040873650,20080101,407,344.677043903319
1040873650,20090101,112,104.672828607504
1040873650,20100101,238,251.594755316905
1040873650,20110101,124,119.461618623044
1040873650,20120101,235,251.40094976135
1040873650,20130101,63,64.9821515678765
1040873650,20140101,52,63.8641706154956
1040873650,20150101,16,62.4355525391275
1040873650,20160101,430,344.677043903319
1040873650,20170101,202,186.747522921523
1040873650,20180101,134,137.95070467588
1040873650,20190101,167,167.283394644245
1040873650,20200101,131,166.297424173049
1040873650,20210101,187,164.905481435231
1040873650,20220101,338,343.356867929293
1040873650,20230101,191,179.047086233211
1040873650,20240101,319,322.213387481963
1040873650,20260101,151,177.082763497614
