HYBAS_ID,YYYY,Q,pred,p_below,p_normal,p_above,class_hat,entropy
1040022430,19930101,15,14.4195,2.42151133159315e-47,1.11022302462516e-16,1,above,5.72621090106108e-11
1040022430,19940101,4,4.0485,0.927173872029849,0.0728261279701325,1.84297022087776e-14,below,0.260888666250213
1040022430,19950101,6,5.8555,0.0953933414635812,0.904605898812181,7.59724237298087e-07,normal,0.314852954360033
1040022430,19960101,10,9.515,2.51957610894296e-12,0.215479121113401,0.78452087888408,above,0.52112618857553
1040022430,19970101,16,14.9255,2.45953436356829e-52,0,1,above,5.72619979883083e-11
1040022430,19980101,2,2.489,0.999938456306617,6.15436933831814e-05,0,below,0.000658254904051768
1040022430,19990101,9,9.3575,1.33585918472673e-11,0.292292639761348,0.707707360225293,above,0.604191731844712
1040022430,20000101,2,2.379,0.999969396604266,3.06033957344631e-05,0,below,0.000348706879950972
1040022430,20010101,4,4.1745,0.89659370177871,0.10340629822121,7.96029908656237e-14,below,0.332503554785166
1040022430,20020101,11,10.3045,2.49386104751581e-16,0.0230280239512801,0.97697197604872,above,0.109600497112231
1040022430,20030101,6,6.43583333333333,0.0140560660384246,0.985899879071534,4.40548900416671e-05,normal,0.0743870396230514
1040022430,20040101,8,7.79416666666667,9.6464497606889e-06,0.967398444478411,0.0325919090718281,normal,0.143760292301506
1040022430,20050101,7,7.0235,0.000986073779508084,0.997760533575352,0.00125339264513968,normal,0.0174373880290377
1040022430,20060101,5,5.509,0.218173225934008,0.781826727216605,4.68493874805631e-08,normal,0.52458695798196
1040022430,20070101,10,9.21016666666667,6.04058824961498e-11,0.373956305105629,0.626043694833965,above,0.661027768813431
1040022430,20080101,7,7.09093333333333,0.00069308367978678,0.99755338787007,0.00175352845014365,normal,0.0186134679981339
1040022430,20090101,22,19.6035,9.0135153983152e-111,0,1,above,5.72619979883083e-11
1040022430,20100101,16,16.0135,5.98875095347478e-64,0,1,above,5.72619979883083e-11
1040022430,20110101,8,7.895,4.77502330599173e-06,0.95446192998093,0.0455332949957642,normal,0.185210139089635
1040022430,20120101,9,10.8375,2.19107033771471e-19,0.00247739552433768,0.997522604475662,above,0.0173400536983818
1040022430,20130101,4,4.3875,0.825531404917273,0.174468595081855,8.71969163540598e-13,below,0.462901465997477
1040022430,20140101,6,5.7605,0.122419075659741,0.877580560707326,3.63632933653157e-07,normal,0.37172298953971
1040022430,20150101,7,7.7435,1.36171269192152e-05,0.972650538264117,0.0273358446089639,normal,0.125521492782277
1040022430,20160101,4,3.6745,0.978668440299012,0.0213315597009881,2.22044604925031e-16,below,0.103177025295686
1040022430,20170101,9,8.665,1.04353510410954e-08,0.695776562596284,0.304223426968365,normal,0.614400644107609
1040022430,20180101,4,4.086,0.918900717134359,0.0810992828656127,2.85327317328665e-14,below,0.281446026746897
1040022430,20190101,6,6.03226666666667,0.0572171121192703,0.942780052994787,2.83488594299275e-06,normal,0.219279513392036
1040022430,20200101,6,5.711,0.138456134582537,0.861543619709371,2.45708092538877e-07,normal,0.402154941236529
1040022430,20210101,4,4.1765,0.896042634261969,0.10395736573795,8.1379347705024e-14,below,0.333692190725546
1040022430,20220101,8,7.885,5.12512909760261e-06,0.955906089844014,0.0440887850268881,normal,0.180794932378451
1040022430,20230101,5,4.6925,0.680907480766964,0.319092519210619,2.24168461571139e-11,below,0.626183531474194
1040022430,20240101,7,6.75226666666667,0.00368532124364192,0.996020905536393,0.000293773219965376,normal,0.0270106576737083
1040022430,20250101,7,6.94333333333333,0.00148028886879817,0.997689601621511,0.000830109509690535,normal,0.0178413339481291
1040022430,20260101,7,7.041,0.000900711462844365,0.997730478091611,0.00136881044554438,normal,0.0176087070254929
1040023300,19930101,1107,1083.6245,0.030195703839961,0.969804296160033,6.10622663543836e-15,normal,0.135421797376676
1040023300,19940101,1041,1061.0845,0.19979478122914,0.80020521877086,0,normal,0.500117798299125
1040023300,19950101,1129,1131.5485,2.25439936416292e-05,0.999977438167728,1.78386299065636e-08,normal,0.00026410152901097
1040023300,19960101,1199,1193.7615,1.98810085493111e-12,0.996007689462485,0.00399231053552718,normal,0.0260353993555108
1040023300,19970101,1235,1211.775,4.0619786383393e-15,0.966008000581268,0.0339919994187283,normal,0.148355979977981
