"HYBAS_ID","YYYY","Q","RF","SVMLINEAR","MLP","pred_final"
"Ankobra",19930101,275.728338983051,196.484896990312,208.83604108979,206.48282057542,239.006293372883
"Ankobra",19940101,277.325847457627,231.152304111558,207.17575418738,237.949737892471,269.122648088983
"Ankobra",19950101,232.059610169492,201.878028594364,206.118331389126,219.47912959126,236.868563139833
"Ankobra",19960101,595.582406779661,330.283834462174,207.464079935353,604.116425580961,521.134176432199
"Ankobra",19970101,556.343423728814,307.750740180607,208.104348581999,206.477272966641,445.354283368646
"Ankobra",19980101,14.8699830508475,129.701711425807,203.165485266868,145.388639197677,56.0192540805089
"Ankobra",19990101,351.644016949153,330.594830898759,213.279679329208,393.304292555513,405.622107279663
"Ankobra",20000101,242.972254237288,251.728881003188,212.661482578686,241.361859687859,240.922591983049
"Ankobra",20010101,266.044152542373,207.549559377478,207.05354123537,206.103086400526,252.006471563558
"Ankobra",20020101,322.354745762712,322.25322054162,202.829161082351,167.238526804319,350.509928953391
"Ankobra",20030101,192.463084745763,174.478191930687,206.452571393954,206.473772275512,199.37293339407
"Ankobra",20040101,42.0123220338983,139.758837285186,204.188974917299,195.641142812705,75.1811917161025
"Ankobra",20050101,200.453491525424,155.376650033135,207.372442962858,206.234338225679,203.186645631357
"Ankobra",20060101,80.3431355932203,134.871415041482,206.746379904379,206.412451001786,88.9353607754244
"Ankobra",20070101,347.454644067797,245.503808228346,204.382565838193,204.350537941485,299.763825987288
"Ankobra",20080101,202.636355932203,304.164499050491,216.625854120278,201.162190725571,279.342271661014
"Ankobra",20090101,437.664644067797,335.503772946304,209.832141389003,393.272546098055,433.125975779664
"Ankobra",20100101,189.440406779661,131.511241523194,203.709362818523,137.543900295592,131.809346347457
"Ankobra",20110101,37.9757966101695,250.807982365712,206.990078873957,28.6899645477638,86.0816217372885
"Ankobra",20120101,98.9937966101695,289.949928859562,205.242105390653,95.7204511275679,132.60397217373
"Ankobra",20130101,87.8659152542373,183.43209158791,208.110426321868,68.1899403945418,96.3968982288142
"Ankobra",20140101,156.613,192.931111405492,210.143615462198,242.759992474007,186.966342741527
"Ankobra",20150101,13.2566271186441,127.292560260791,209.883827230397,206.484092898105,47.858157881356
"Ankobra",20160101,55.5511186440678,142.785946483471,208.433227030693,206.47873877495,80.8161964067804
"Ankobra",20170101,251.405389830508,151.313715389178,207.36269813812,206.359182974809,220.072152474575
"Ankobra",20180101,61.2342542372881,122.367166511575,208.386464840158,80.8079249462599,69.6923754406779
"Ankobra",20190101,40.9018644067797,129.807433964158,204.527373252971,161.256210207736,53.3299779872878
"Ankobra",20200101,244.869152542373,288.448890508481,208.502570927077,242.662642075558,273.899651474576
"Ankobra",20210101,201.544923728814,156.984833322576,205.414459356936,185.681800068488,168.199908940679
"Ankobra",20220101,201.544923728814,158.663980135324,205.247580447515,175.193835700006,178.092265440679
"Ankobra",20230101,201.544923728814,197.566046425622,206.563112566733,199.989302196085,215.140278372882
"Ankobra",20240101,201.544923728814,194.929183537476,209.735688531359,206.484432409775,228.755114457629
"Ankobra",20250101,201.544923728814,NA,206.222708781868,205.688804688388,212.186903118646
"Ankobra",20260101,201.544923728814,188.781911170917,204.607431247548,168.832913567192,191.550718012713
"Ayensu",19930101,2.53855555555556,3.33256023814668,3.35942690787277,3.08430468034468,2.624949445679
"Ayensu",19940101,2.4037037037037,3.44381619317647,3.50917557858338,3.11821870665909,2.67279295185186
"Ayensu",19950101,4.55588888888889,4.96454421295428,3.21464512861497,4.69322392339018,4.4502757283951
"Ayensu",19960101,6.95490740740741,5.99436572843983,3.22147962973104,6.8651740999018,7.22074821296303
"Ayensu",19970101,25.3532407407407,18.6283926538659,3.74773073344847,25.3439564570389,19.5370229722221
"Ayensu",19980101,1.38305555555556,2.25796647585845,3.5696590860539,3.08595034375077,1.60213343333333
