"YYYY","Q","pred","HYBAS_ID","p_below","p_normal","p_above","class_hat","entropy"
19930101,15.8169743589744,14.8596499102565,"1040022430",9.71018886272109e-27,2.42766695635055e-10,0.999999999757233,"above",5.64599031576428e-09
19940101,4.33482051282051,4.52849157692306,"1040022430",0.877687437786456,0.122312550170867,1.20426766336834e-08,"below",0.371507633728066
19950101,6.5464358974359,6.02860641025641,"1040022430",0.291024339325836,0.708920311312648,5.53493615153e-05,"normal",0.60364514999868
19960101,10.0271025641026,9.63643303846156,"1040022430",1.48865855460647e-06,0.398925903550862,0.601072607790583,"above",0.672594459302069
19970101,16.0283333333333,13.4378058717949,"1040022430",9.79952737463023e-20,2.12020651169098e-06,0.999997879793488,"above",2.98186045364993e-05
19980101,2.83607692307692,3.19638658974362,"1040022430",0.996378381537372,0.0036216184620117,6.16173778666962e-13,"below",0.0239715696419835
19990101,9.42130769230769,9.45241579487185,"1040022430",4.05732303261806e-06,0.481697869009546,0.518298073667421,"above",0.692528857337565
20000101,2.44092307692308,3.6270260128205,"1040022430",0.985862108072333,0.0141378919084113,1.92559301837036e-11,"below",0.0742492995007572
20010101,4.60530769230769,4.75484950000001,"1040022430",0.817237459974507,0.182762488466383,5.15591094263357e-08,"below",0.475557536556968
20020101,11.2808717948718,10.484963871795,"1040022430",8.41237624842435e-09,0.110178241820306,0.889821749767317,"above",0.346887996082567
20030101,6.01628205128205,6.82556561538468,"1040022430",0.0720173486626218,0.926420948208745,0.00156170312863346,"normal",0.270361572497672
20040101,8.40394871794872,8.28809856410263,"1040022430",0.000868422650979544,0.899624155878876,0.0995074214701442,"normal",0.330897664682749
20050101,7.96051282051282,7.36859242307701,"1040022430",0.018701203343203,0.971524729928401,0.00977406672839565,"normal",0.147715766724727
20060101,5.60453846153846,6.07339991025638,"1040022430",0.273729602600181,0.726202218265528,6.81791342914684e-05,"normal",0.587633639907279
20070101,10.0651282051282,9.08208901282056,"1040022430",2.68358953485944e-05,0.646968134269864,0.353005029834787,"normal",0.649584668762106
20080101,7.19302564102564,7.21151137179493,"1040022430",0.028593596253347,0.965444254536829,0.00596214920982419,"normal",0.166129769433418
20090101,22.006358974359,19.4858012435895,"1040022430",2.11166361206693e-57,0,1,"above",5.72619979883083e-11
20100101,16.8886666666667,16.4842876153844,"1040022430",3.9186511733939e-36,3.33066907387547e-16,1,"above",5.72621090106108e-11
20110101,8.00789743589744,8.508659948718,"1040022430",0.000357340141797024,0.848693116871372,0.150949542986831,"normal",0.427487572632066
20120101,9.99264102564103,12.0435983589744,"1040022430",5.74247588872933e-14,0.00132207155984809,0.998677928440095,"above",0.0100846218556258
20130101,4.84735897435897,4.76600169230768,"1040022430",0.813842611140056,0.186157333564041,5.52959033006672e-08,"below",0.480603803908501
20140101,6.90297435897436,6.84320273076927,"1040022430",0.0692925689255403,0.929040625505653,0.00166680556880661,"normal",0.264013104080989
20150101,7.52282051282051,8.33569075641028,"1040022430",0.000720611808736153,0.889928727444287,0.109350660746977,"normal",0.351006371499956
20160101,4.75910256410256,4.54687791025641,"1040022430",0.873376312410092,0.126623674004334,1.35855736660417e-08,"below",0.379917935514893
20170101,9.38510256410256,9.34963726923078,"1040022430",6.97295821469739e-06,0.52851026308259,0.471482763959195,"normal",0.691605151725433
