"HYBAS_ID","YYYY","Q","PCR","RIDGE","LASSO","pred_final"
"1050021910",19930101,1909.40086666667,1963.07995879785,2357.68246064879,2372.85222030612,2019.82089526111
"1050021910",19940101,2153.02986666667,2573.80896823701,2206.34910831096,2186.39865430515,2496.28813900556
"1050021910",19950101,2683.02743333333,2504.26160383517,2933.0830157305,3184.9604232629,2864.94746781111
"1050021910",19960101,3570.9438,2821.09481895928,2929.47951279199,3241.22115109477,3212.16486018055
"1050021910",19970101,4302.9823,2405.71615789401,2108.01074209921,1921.00470720157,3401.64169281385
"1050021910",19980101,1703.7466,2366.90921484349,1683.03614413473,1712.85566198791,2039.605180075
"1050021910",19990101,3466.62156666667,3624.82431634311,2271.43881087821,2255.27861565228,3175.89441503336
"1050021910",20000101,3098.9989,2630.97573580053,3389.08839471145,3514.23889235419,3098.78403930277
"1050021910",20010101,1598.6216,1763.70150220137,2206.97783181084,1809.9404090193,1718.61164919167
"1050021910",20020101,2764.77216666667,3006.61041013737,2693.70457473148,2850.51191896914,2928.48596896666
"1050021910",20030101,2306.59413333333,1394.35389820267,2524.46556006266,2655.75232827879,2360.03696965555
"1050021910",20040101,1561.12716666667,2127.66096696985,2352.88510309552,2365.4998799727,1939.83974934999
"1050021910",20050101,2963.53696666667,2426.38912092231,2453.4752634628,2557.62378791609,2892.16033504721
"1050021910",20060101,3127.11293333333,2764.67855422911,2444.41585746178,2823.59640618616,2983.94043137222
"1050021910",20070101,2118.3404,2058.30572162146,2216.822614046,2206.07542797853,2068.24187573056
"1050021910",20080101,2865.54753333333,2532.67259350643,2106.85363302198,2037.41697375834,2811.18703190832
"1050021910",20090101,2514.41843333333,2216.97922560071,2287.24526478017,2271.11150177935,2221.45230657498
"1050021910",20100101,2974.14026666667,2835.33312423869,2219.5690607046,2218.55585663919,2901.30239452778
"1050021910",20110101,3044.32363333333,2627.48910735459,2343.15368794974,2195.24753273,2849.81892384167
"1050021910",20120101,3696.32363333333,2057.95702788282,2583.87531990032,2718.39075653063,3078.05103855832
"1050021910",20130101,1666.87636666667,1171.61843011794,2243.71218977561,2300.83637518463,1776.97853573056
"1050021910",20140101,689.8611,2054.51653299604,1565.1001269908,1231.66772324017,1137.59078061111
"1050021910",20150101,1046.13423333333,2264.07459724832,2036.68304384507,1920.89416269275,1381.616521925
"1050021910",20160101,1906.2651,2778.57129317193,2511.59716805363,2555.15876273003,2439.85774362499
"1050021910",20170101,739.7871,1598.8784869461,2129.69586893434,1972.71532930426,1295.27828531944
"1050021910",20180101,1496.71433333333,2114.40240007437,1935.18261886934,1857.931749363,1449.03847928611
"1050021910",20190101,614.114533333333,2140.4615622172,2099.5479682407,2048.40730385688,1155.92828416667
"1050021910",20200101,3616.7906,2714.31993520522,1840.00850937302,1629.95189172294,2733.95513099166
"1050021910",20210101,1681.8859,1784.13164137588,2345.40626176543,2346.93143272246,1907.68686141667
"1050021910",20220101,1932.93343333333,2733.72084740549,2310.47597038259,2376.99286094254,2742.606035275
"1050021910",20230101,2177.9998,2392.56570558615,2185.42195427124,2196.34423477756,2809.61858598332
"1050021910",20240101,3558.88786666667,3157.97013877814,2330.39004386341,2293.57328661823,2922.56989044167
"1050021910",20250101,2242.29696666666,NA,2238.75193862695,2165.54585721005,2146.92855068333
"1050021910",20260101,2242.29696666666,2000.3346029836,1992.5289882901,1839.51542103845,1702.18309205
