HYBAS_ID,SUBID,n_UpstreamSubids,POURX,POURY,lon,lat
1060021660,201024,1,8.7620487,4.73706436,8.91323919794276,4.9854143231604
1060021840,210275,1,8.546216,4.77539778,8.71327129749587,5.17623853369317
1060021850,200946,1,8.3003836,4.81789732,8.3160230512443,5.46088021562566
1060021910,210292,45,8.2503834,4.82123089,8.18210146812216,4.8654062556488
1060021920,214490,1,8.318717,4.56123161,8.21636778314287,4.67569895576618
1060021940,214737,7,7.5270534,4.54539871,7.39281290591045,4.78029940149593
1060022420,205637,1280,6.0695591,4.39039898,6.14862039913765,4.84206827967976
1060022430,209902,7,5.2937288,5.91289282,5.82190866024627,5.84424632506846
1060022910,212285,12,5.2687287,5.91039324,5.34173836393108,6.13874219210305
1060022920,209073,5,5.1462293,5.84039354,5.0318842925179,6.33163570832207
1060023020,205003,46,3.4029028,6.4045577,3.31822526240606,6.5137439992996
1060023050,208530,70,2.4387403,6.3670578,2.48913841512104,6.46122927893245
1060023060,207029,4,1.9662422,6.30955791,2.00539106369812,6.37005379146053
1060023130,205791,26,1.7879095,6.35539103,1.70499239040011,6.47805373573682
1060023140,211549,27,1.6212435,6.23372507,1.73769554025013,6.34099836353359
1060023310,200284,2,-0.3054155,5.51289463,-0.185140959095929,5.60525881446617
1060023450,204021,1,-0.3454153,5.57206106,-0.376749019629527,5.90697160449257
1060023460,208314,3,-0.5904143,5.35789537,-0.581150779414281,5.39413806982869
1060023660,208282,20,-1.6170769,5.02622986,-1.69433490475388,5.12290185137127
1060023670,202031,1,-1.9120756,4.82706404,-1.84359253868015,4.9441534271358
1060023770,200068,7,-2.2795742,4.9045639,-2.24548839461366,5.01362805196089
1060023780,200261,1,-2.5887396,4.98706341,-2.58592038018564,5.10556393273803
1060023840,202273,28,-3.2779036,5.15039587,-3.08153681286164,5.17748103966706
1060023850,202831,1,-3.3695698,5.14372921,-3.48215502816974,5.22873059264934
1060023890,207307,77,-3.7254019,5.19289589,-3.81419198209263,5.40000249480799
1060023900,202504,16,-4.0029006,5.24872923,-4.17398349344951,5.34790764924868
1060023950,201204,102,-4.9945636,5.13789606,-4.96332896442411,5.29932709078318
1060023960,205346,78,-6.1028924,4.97373009,-6.00588290492018,5.13272061392964
1060024070,202966,71,-6.1495585,5.03539658,-6.26363032074214,5.19591708106597
1060024080,202957,4,-6.6187234,4.74373102,-6.6524762738565,4.79098360461863
1060024310,207709,26,-7.5403867,4.3745656,-7.57507398962336,4.39664450966143
1060024320,202984,3,-8.7653818,4.8420639,-8.60041028078698,4.97110144587205
1060024620,205092,6,-9.3437128,5.21289587,-9.21623307777833,5.42657672675416
1060024630,201023,1,-9.4937124,5.37372828,-9.40980475599078,5.36997814007198
1060024680,207187,13,-9.5670452,5.46872807,-9.23817732754631,5.67259547051656
1060024690,200257,2,-9.7295446,5.57539415,-9.56407383739121,5.83280586907439
1060024770,206357,18,-10.0687094,5.92622614,-9.86353519176935,6.12934188914315
1060024780,206720,1,-10.3662081,6.12872553,-10.2683332994925,6.09666658624815
1060024830,205597,5,-10.3753748,6.13872528,-10.2538739163916,6.36536939537443
1060024870,201447,19,-10.7887068,6.38789129,-10.7009754355705,6.42788096126098
1060024880,201424,7,-11.0728722,6.58455706,-10.988727574186,6.68092577637458
1060844850,215672,27,12.91911888,9.334133148,12.9258397056594,9.10545142384411
1060869270,209884,135,-1.3620778,8.76204872,-1.41457959054972,8.76089463009683
1060870170,210177,826,5.7953935,8.74371529,5.66561396333042,8.70707133983759
1060873640,209937,267,-0.8620799,8.51871586,-1.25613653310885,8.39499981244588
1060874640,205874,224,9.9695435,8.32121658,10.3892699097291,8.49618850890637
1060877640,209981,2,-2.397907,8.56204891,-2.90247810590961,8.5999174489223
1060882810,203277,10,-7.1712213,8.49871635,-7.12752428264637,8.73623131809934
1060882980,208337,17,-7.1520548,8.38371658,-7.40799295972983,8.51993386215157
1060888070,219167,22,9.970376968,8.320383072,10.1032112094309,8.24298802282886
1060892990,201330,900,6.6703901,8.21955013,6.43329207053979,8.42962283273354
1060893000,200679,14,6.6987233,8.1895504,6.74716097329005,8.38792762069111
1060893840,211456,277,-0.5562478,8.19538403,-0.559949812708372,8.31861525120303
1060894030,209246,8,-0.5562478,8.193717,-0.855773918533202,8.07990481531087
1060894490,204145,117,-2.2304077,8.27121735,-2.30107202751708,8.44332713298383
1060894710,208409,125,-2.0745749,8.15288448,-2.14819935406868,8.02997356760362
1060894730,206879,6,-0.3645819,8.12621784,-0.209269722937654,8.32157553795973
1060898890,203358,8,7.303721,8.02871799,7.49448801391691,8.35289774136789
1060899140,207837,329,7.2095547,8.00205135,7.45660569600643,7.88461708022597
1060901260,209783,10,7.9562182,7.98288488,8.05764161808181,8.12367159330926
1060901410,213518,307,7.9537182,7.96955156,8.23271161872176,7.87451871534739
1060906360,208340,32,-7.0828881,7.73205233,-7.1321382611234,7.93979572199314
1060906750,212078,10,-7.1020551,7.85371876,-7.39904597125101,7.91520869952393
1060908430,209966,1,8.6453819,7.73705244,8.74343341458247,7.51582544950791
1060908560,215348,1,8.3003836,7.81705189,8.1604303154924,7.60450376000972
1060908780,217115,275,8.8653812,7.80538559,9.03974471681032,7.86580260672014
1060909040,218283,21,8.8653812,7.80455208,9.0323268963676,7.56998757224149
1060909890,208587,1252,6.7537231,7.76288557,6.5710885232867,7.84102217200858
1060909900,212190,333,6.8045559,7.82455206,6.88093710791365,7.95556842264968
1060910320,204457,294,-0.0937496,7.74705219,-0.154177650144913,8.04534138293924
1060910430,200647,3,-0.0937496,7.74621916,-0.246965018904368,7.6896356583839
1060911240,200702,299,8.522049,7.74955225,8.78098870800443,7.78493563203006
1060912640,201076,26,2.488739967,7.694552422,2.41144329488758,7.73955991729249
1060912850,204034,10,2.4904068,7.69288588,2.71982615611287,7.96209436817913
1060915980,203584,380,0.0854163,7.5203867,-0.0226057837807338,7.68384204153878
1060915990,202266,82,0.0787497,7.68955278,0.278070652380779,7.79999299485883
1060921980,203216,55,-3.5054026,7.43538713,-3.61145271602555,7.46916911246558
1060921990,207960,1,4.1287336,7.6278863,4.17001958630071,7.98124676787223
1060922130,203219,4,-3.513736,7.55871964,-3.50612168162658,7.76531536764712
